display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
Henri Gouraud,https://en.wikipedia.org/wiki/Henri_Gouraud,world_wars,147,194,176,189,-29,5,outside_trust_headline,outside_trust_headline,caution,caution,7,10,,,4,7,,,1,4,0,high,materially_inflated,22,1 structurally suspect rows; 4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,no
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,7,10,16,27,-9,-17,high_confidence_upper_band,model_sensitive_band,moderate,caution,23,25,B=22; O=0; C=0; W=1,B=19; O=0; C=1; W=5,18,18,V=15; D=3; N=0; U=5,V=14; D=3; N=1; U=7,4,1,0,high,high_priority_manual_audit,21,4 structurally suspect rows; 1 downgraded broad rows; war-page reduction 5→1; campaign reduction 1→0; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,13,13,34,37,-21,-24,model_sensitive_band,model_sensitive_band,caution,caution,19,20,B=9; O=10; C=0; W=0,B=8; O=7; C=5; W=0,12,13,V=11; D=1; N=0; U=7,V=12; D=1; N=0; U=7,2,6,0,high,high_priority_manual_audit,21,2 structurally suspect rows; 6 downgraded broad rows; campaign reduction 5→0; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,42,52,44,62,-2,-10,model_sensitive_band,model_sensitive_band,caution,caution,13,17,B=8; O=5; C=0; W=0,B=8; O=8; C=1; W=0,11,14,V=10; D=1; N=0; U=2,V=12; D=2; N=0; U=3,1,4,0,high,materially_inflated,21,1 structurally suspect rows; 4 downgraded broad rows; campaign reduction 1→0; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,no
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,43,61,35,51,8,10,model_sensitive_band,model_sensitive_band,caution,caution,13,20,B=11; O=1; C=0; W=1,B=11; O=5; C=3; W=1,7,9,V=6; D=1; N=0; U=6,V=6; D=2; N=1; U=11,0,7,0,high,materially_inflated,21,7 downgraded broad rows; campaign reduction 3→0; strict engagements reduced by 7; rank moved materially after verification,multiple surviving battle pages still unresolved,no
Carl Gustaf Wrangel,https://en.wikipedia.org/wiki/Carl_Gustaf_Wrangel,early_modern,75,95,100,131,-25,-36,model_sensitive_band,model_sensitive_band,moderate,caution,10,14,,,8,9,,,2,3,0,high,materially_inflated,21,2 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,no
Stanisław Koniecpolski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Koniecpolski,early_modern,98,96,80,82,18,14,model_sensitive_band,model_sensitive_band,caution,caution,11,14,,B=11; O=0; C=0; W=3,7,7,,V=6; D=1; N=0; U=7,1,2,0,high,materially_inflated,21,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 3→0; strict engagements reduced by 3; rank moved materially after verification,victory count dropped by 6,no
Hayreddin Barbarossa,https://en.wikipedia.org/wiki/Hayreddin_Barbarossa,early_modern,153,45,230,121,-77,-76,outside_trust_headline,outside_trust_headline,caution,caution,5,7,B=5; O=0; C=0; W=0,,3,4,V=3; D=0; N=0; U=2,,1,3,0,high,materially_inflated,21,1 structurally suspect rows; 3 downgraded broad rows; rank moved materially after verification,,no
Andranik Ozanian,https://en.wikipedia.org/wiki/Andranik,world_wars,192,94,206,93,-14,1,outside_trust_headline,outside_trust_headline,caution,caution,4,8,,,3,4,,,0,5,0,high,materially_inflated,21,5 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,no
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,16,24,20,29,-4,-5,model_sensitive_band,model_sensitive_band,caution,caution,16,18,B=15; O=0; C=0; W=1,B=14; O=0; C=2; W=2,14,15,V=10; D=4; N=0; U=2,V=11; D=4; N=0; U=3,3,0,0,moderate,materially_inflated,20,3 structurally suspect rows; war-page reduction 2→1; campaign reduction 2→0; rank moved materially after verification,headline rank with softened trust confidence,no
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,17,16,12,10,5,6,model_sensitive_band,model_sensitive_band,caution,caution,11,16,B=11; O=0; C=0; W=0,B=11; O=0; C=2; W=3,7,8,V=6; D=1; N=0; U=4,V=6; D=1; N=1; U=8,0,5,0,moderate,high_priority_manual_audit,20,5 downgraded broad rows; war-page reduction 3→0; campaign reduction 2→0; strict engagements reduced by 5; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,59,47,67,61,-8,-14,model_sensitive_band,model_sensitive_band,caution,caution,9,10,B=8; O=0; C=0; W=1,B=7; O=0; C=0; W=3,8,8,V=7; D=1; N=0; U=1,V=7; D=1; N=0; U=2,3,1,0,high,materially_inflated,20,3 structurally suspect rows; 1 downgraded broad rows; war-page reduction 3→1; rank moved materially after verification,,no
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,cold_war,154,167,134,147,20,20,outside_trust_headline,outside_trust_headline,caution,caution,10,13,,,4,6,,,2,1,0,high,materially_inflated,20,2 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Marc Mitscher,https://en.wikipedia.org/wiki/Marc_Mitscher,world_wars,176,83,151,65,25,18,outside_trust_headline,outside_trust_headline,caution,caution,7,10,,,6,9,,,1,2,0,high,materially_inflated,20,1 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,no
