"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"14673","2015 Camp Badaber attack","battle_47860357","needs_review","15","1","10","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|latitude|longitude|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2015 Camp Badaber attack","47860357","full_parse_fallback",""
"14676","2015 Kumanovo clashes","battle_46656542","needs_review","27","1","22","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2015 Kumanovo clashes","46656542","full_parse_fallback",""
"14677","2015 Ocotlán ambush","battle_55771626","needs_review","16","1","11","4","rejected_candidate","date_raw|war_name|location_raw|location_normalized|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2015 Ocotlán ambush","55771626","full_parse_fallback",""
"14678","2015 San Sebastián del Oeste ambush","battle_55032081","needs_review","22","2","16","4","date_field_mismatch:end_date|rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","2015 San Sebastián del Oeste ambush","55032081","full_parse_fallback",""
"14679","2015 Tanhuato–Ecuandureo shootout","battle_46781444","needs_review","18","2","12","4","date_field_mismatch:end_date|rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2015 Tanhuato–Ecuandureo shootout","46781444","full_parse_fallback",""
"14680","2015 West African offensive","battle_46576053","needs_review","17","0","12","5","","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","2015 West African offensive","46576053","wikitext_batch",""
"14681","2015 police raids in Turkey","battle_47326647","needs_review","17","0","11","6","","date_raw|start_date|end_date|war_name|result_raw|result_normalized|casualties_side_a_raw|casualties_side_a_min|casualties_side_a_max|page_type|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","2015 police raids in Turkey","47326647","wikitext_batch",""
"14683","Abyan campaign","battle_46357616","needs_review","27","0","18","9","","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|belligerent_3_raw|commander_side_a_raw|commander_side_b_raw|commander_side_c_raw|strength_side_a_raw|strength_side_b_raw|strength_side_c_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Abyan campaign","46357616","wikitext_batch",""
"14693","Battle of Marinka (2015)","battle_46894982","needs_review","18","1","12","5","missing_commanders","location_raw|location_normalized|result_raw|belligerent_1_raw|commander_side_a_raw|strength_side_a_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|casualties_side_a_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Marinka (2015)","46894982","wikitext_batch",""
"14694","Battle of Mukalla (2015)","battle_46315216","needs_review","18","1","12","5","missing_commanders","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|casualties_side_a_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Mukalla (2015)","46315216","wikitext_batch",""
"14699","December 2015–February 2016 Cizre curfew","battle_49494806","needs_review","21","1","16","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","December 2015–February 2016 Cizre curfew","49494806","full_parse_fallback",""
