"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"13413","1982 Amol uprising","battle_45669153","needs_review","30","1","25","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1982 Amol uprising","45669153","full_parse_fallback",""
"13414","1982 Central African Republic coup attempt","battle_61110220","needs_review","14","1","9","4","rejected_candidate","location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1982 Central African Republic coup attempt","61110220","full_parse_fallback",""
"13419","1982 Upper Voltan coup d'état","battle_44401541","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1982 Upper Voltan coup d'état","44401541","full_parse_fallback",""
"13447","1983 Nigerian coup d'état","battle_45111858","needs_review","14","1","9","4","rejected_candidate","location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1983 Nigerian coup d'état","45111858","full_parse_fallback",""
"13448","1983 Upper Voltan coup attempt","battle_44401445","needs_review","18","1","13","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1983 Upper Voltan coup attempt","44401445","full_parse_fallback",""
"13449","1983 Upper Voltan coup d'état","battle_59481522","needs_review","18","1","13","4","rejected_candidate","location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1983 Upper Voltan coup d'état","59481522","full_parse_fallback",""
"13465","1984 Guinean coup d'état","battle_58880985","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1984 Guinean coup d'état","58880985","full_parse_fallback",""
"13466","1984 Mauritanian coup d'état","battle_60276743","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1984 Mauritanian coup d'état","60276743","full_parse_fallback",""
"13467","1984 Syrian coup attempt","battle_79552264","needs_review","20","1","15","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_c_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1984 Syrian coup attempt","79552264","full_parse_fallback",""
"13479","1985 Liberian coup attempt","battle_66209542","needs_review","20","1","15","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1985 Liberian coup attempt","66209542","full_parse_fallback",""
"13480","1985 MOVE bombing","battle_64334905","needs_review","9","1","7","1","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|infobox_present","extraction_confidence","1985 MOVE bombing","64334905","full_parse_fallback",""
"13481","1985 Nigerian coup d'état","battle_61226272","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1985 Nigerian coup d'état","61226272","full_parse_fallback",""
"13482","1985 Sudanese coup d'état","battle_60272994","needs_review","17","1","10","6","rejected_candidate","war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","1985 Sudanese coup d'état","60272994","full_parse_fallback",""
"13483","1985 Thai coup attempt","battle_69594632","needs_review","26","1","21","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|casualties_side_a_raw|casualties_side_c_raw|strength_side_a_min|strength_side_a_max|casualties_side_a_min|casualties_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1985 Thai coup attempt","69594632","full_parse_fallback",""
"13486","Badaber uprising","battle_16897473","needs_review","28","1","23","4","rejected_candidate","date_raw|start_date|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","Badaber uprising","16897473","full_parse_fallback",""
"13503","1986 Lesotho coup d'état","battle_54612648","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1986 Lesotho coup d'état","54612648","full_parse_fallback",""
"13504","1986 Togolese coup attempt","battle_60256638","needs_review","15","1","10","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1986 Togolese coup attempt","60256638","full_parse_fallback",""
"13512","Project Blue Sword-B","battle_72943565","needs_review","29","1","24","4","rejected_candidate","war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","Project Blue Sword-B","72943565","full_parse_fallback",""
"13513","Sajid invasion of Georgia","battle_35758403","needs_review","10","1","5","4","rejected_candidate","date_raw|year|century|result_raw|notes","acceptance_reason|text_length|categories|extraction_confidence","Sajid invasion of Georgia","35758403","full_parse_fallback",""
