display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Kilij Arslan I,https://en.wikipedia.org/wiki/Kilij_Arslan_I,battle_398093,Battle of Dorylaeum (1097),Battle of Dorylaeum (1097),battle_article,side_b,Sultanate of Rûm Danishmendids,unknown,defeat,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Crusader victory
Bohemond I of Antioch,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,battle_1119248,Siege of Antioch,Siege of Antioch,battle_article,side_a,Crusaders Byzantine Empire,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
"Tancred, Prince of Galilee",https://en.wikipedia.org/wiki/Tancred%2C_Prince_of_Galilee,battle_1119248,Siege of Antioch,Siege of Antioch,battle_article,side_a,Crusaders Byzantine Empire,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
Toghtekin,https://en.wikipedia.org/wiki/Toghtekin,battle_1119248,Siege of Antioch,Siege of Antioch,battle_article,side_b,Seljuk Empire Emirate of Antioch Emirate of Damascus Emirate of Homs Sultanate of Aleppo Emirate of Mosul Various other Arab or Turkish Emirates,unknown,defeat,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Crusader victory
Bohemond I of Antioch,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,battle_54892989,Battle of Antioch (1098),Battle of Antioch (1098),battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
"Tancred, Prince of Galilee",https://en.wikipedia.org/wiki/Tancred%2C_Prince_of_Galilee,battle_54892989,Battle of Antioch (1098),Battle of Antioch (1098),battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
Toghtekin,https://en.wikipedia.org/wiki/Toghtekin,battle_54892989,Battle of Antioch (1098),Battle of Antioch (1098),battle_article,side_b,Seljuk Empire Emirate of Mosul Emirate of Damascus Emirate of Homs Various other Muslim Emirates,unknown,defeat,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Crusader victory
Bohemond I of Antioch,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,battle_57427607,Battle of the Lake of Antioch,Battle of the Lake of Antioch,battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
Bohemond I of Antioch,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,battle_14618153,Siege of Ma'arra,Siege of Ma'arra,battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
"Tancred, Prince of Galilee",https://en.wikipedia.org/wiki/Tancred%2C_Prince_of_Galilee,battle_950767,Siege of Jerusalem (1099),Siege of Jerusalem (1099),battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
