display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,112.0,343.0,39.0,79.0,40.0,78.0,130.0,74.56786171574905,79.34020618556703,74.62058731646361,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",24,17,15,18,23,V=18; D=4; N=1; U=1,B=17; O=7; C=0; W=0,battle_dominant,highly_model_sensitive,
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,97.0,56.0,40.0,45.0,70.0,100.0,13.0,76.36043533930858,79.11246485473292,78.19634489222119,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,11,7,18,9,V=7; D=2; N=0; U=4,B=11; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,16.0,20.0,41.0,39.0,51.0,30.0,11.0,92.25352112676057,79.0834114339269,79.02811621368322,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 41 but not stable enough for the headline core.,11,11,9,13,10,V=9; D=1; N=0; U=1,B=11; O=0; C=0; W=0,battle_dominant,model_sensitive,
Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,27.0,46.0,42.0,61.0,99.0,56.0,117.0,89.20614596670936,79.06466729147141,76.11730709153389,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,21,5,17,21,V=15; D=6; N=0; U=1,B=21; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,179.0,145.0,43.0,47.0,46.0,47.0,41.0,67.74007682458387,79.01686972820991,77.85941893158386,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,5,8,13,11,V=10; D=0; N=1; U=2,B=5; O=8; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,142.0,156.0,44.0,51.0,55.0,75.0,39.0,70.47375160051216,78.97563261480786,77.58856607310216,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,8,8,9,12,V=11; D=1; N=0; U=1,B=8; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,320.0,443.0,45.0,63.0,50.0,70.0,70.0,55.24327784891165,78.86035613870665,75.95657606997813,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",16,8,10,16,13,V=11; D=1; N=1; U=3,B=8; O=7; C=0; W=1,battle_dominant,highly_model_sensitive,higher_level_dependent
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,94.0,209.0,46.0,100.0,145.0,95.0,108.0,76.59731113956467,78.66073102155575,72.88597313339581,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",28,21,19,33,22,V=14; D=8; N=0; U=6,B=21; O=0; C=0; W=7,battle_dominant,highly_model_sensitive,
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,217.0,689.0,47.0,72.0,64.0,69.0,56.0,64.46222791293214,78.61855670103094,75.22852233676977,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",17,10,9,9,17,V=14; D=3; N=0; U=0,B=10; O=7; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,59.0,97.0,48.0,64.0,142.0,68.0,118.0,82.13828425096031,78.55576382380507,75.8034989065917,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",16,15,9,12,14,V=10; D=4; N=0; U=2,B=15; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
