row_number,commander_id,name_primary,wikipedia_page,status,blocker_count,blockers
7428,cmd_28fd4b21dceb,Emre Taner,https://en.wikipedia.org/wiki/Emre_Taner,ok,0,
7429,cmd_da32176a56ce,Emzar Kvitsiani,https://en.wikipedia.org/wiki/Emzar_Kvitsiani,ok,0,
7430,cmd_e323ae6edc30,Emílio Garrastazu Médici,https://en.wikipedia.org/wiki/Em%C3%ADlio_Garrastazu_M%C3%A9dici,ok,0,
7431,cmd_da224aa18d81,Emîr Xan Lepzêrîn,https://en.wikipedia.org/wiki/Em%C3%AEr_Xan_Lepz%C3%AAr%C3%AEn,ok,0,
7432,cmd_2c51524edca2,Enab Baladi,https://en.wikipedia.org/wiki/Enab_Baladi,ok,0,
7433,cmd_d3703b094315,Enamul Bari,https://en.wikipedia.org/wiki/Enamul_Bari,ok,0,
7434,cmd_83f44f4b2e7e,Enamul Huq,https://en.wikipedia.org/wiki/Enamul_Huq,ok,0,
7435,cmd_0c6b8a847993,Encang,,ok,0,
7436,cmd_8d32d785f77d,Encyclopædia Britannica,https://en.wikipedia.org/wiki/Encyclop%C3%A6dia_Britannica,ok,0,
7437,cmd_903d273dfd1f,Endriartono Sutarto,https://en.wikipedia.org/wiki/Endriartono_Sutarto,ok,0,
7438,cmd_6a55b3f0b6cc,Endō Naotsune,https://en.wikipedia.org/wiki/End%C5%8D_Naotsune,ok,0,
7439,cmd_7e2c7a562ee3,Enea Navarini,https://en.wikipedia.org/wiki/Enea_Navarini,ok,0,
7440,cmd_351c760387a5,Enea Silvio Piccolomini (general),https://en.wikipedia.org/wiki/Enea_Silvio_Piccolomini_%28general%29,ok,0,
7441,cmd_5fb4152f103d,Enedina Arellano Félix,https://en.wikipedia.org/wiki/Enedina_Arellano_F%C3%A9lix,ok,0,
7442,cmd_cc4cf5756362,Enele Maʻafu,https://en.wikipedia.org/wiki/Enele_Ma%CA%BBafu,ok,0,
7443,cmd_63db5a2dd704,Eng Kang,,ok,0,
7444,cmd_58ccc0c3dae2,Engelbert II of Nassau,https://en.wikipedia.org/wiki/Engelbert_II_of_Nassau,ok,0,
7445,cmd_a23fec4b231b,Engelbert III (archbishop of Cologne),https://en.wikipedia.org/wiki/Engelbert_III_%28archbishop_of_Cologne%29,ok,0,
7446,cmd_2a41b7fc66af,"Engelbert, Count of Nevers",https://en.wikipedia.org/wiki/Engelbert%2C_Count_of_Nevers,ok,0,
7447,cmd_92aaaa09d493,Engelbrekt Engelbrektsson,https://en.wikipedia.org/wiki/Engelbrekt_Engelbrektsson,ok,0,
7448,cmd_e556f378e862,Engin Alan,https://en.wikipedia.org/wiki/Engin_Alan,ok,0,
7449,cmd_66fb63e2318a,England Michael Gill,,ok,0,
7450,cmd_4b8089b43864,England Sir George Abercromby,,ok,0,
7451,cmd_b982df464b4b,EnglandFrancis SelwynHe killed himself to avoid capture,,ok,0,
7452,cmd_a72860eb7f73,"Enguerrand III, Lord of Coucy",https://en.wikipedia.org/wiki/Enguerrand_III%2C_Lord_of_Coucy,ok,0,
7453,cmd_146dc1ce85c4,Enguerrand VI de Coucy,https://en.wikipedia.org/wiki/Enguerrand_VI_de_Coucy,ok,0,
7454,cmd_24436a10eef1,Enguerrand VII de Coucy,https://en.wikipedia.org/wiki/Enguerrand_VII_de_Coucy,ok,0,
7455,cmd_666476aef2ec,Ennis Whitehead,https://en.wikipedia.org/wiki/Ennis_Whitehead,ok,0,
7456,cmd_00ca67f924d0,Enno Rudolph Brenneysen,https://en.wikipedia.org/wiki/Enno_Rudolph_Brenneysen,ok,0,
7457,cmd_518f18c1bebb,Enoch Poor,https://en.wikipedia.org/wiki/Enoch_Poor,ok,0,
7458,cmd_c2e5c5f870ef,Enomoto Takeaki,https://en.wikipedia.org/wiki/Enomoto_Takeaki,ok,0,
7459,cmd_e07ca5e8ba24,Enrico Baroni,https://en.wikipedia.org/wiki/Enrico_Baroni,ok,0,
7460,cmd_23182c10fe42,Enrico Cialdini,https://en.wikipedia.org/wiki/Enrico_Cialdini,ok,0,
7461,cmd_71dcb88fe988,Enrico Cosenz,https://en.wikipedia.org/wiki/Enrico_Cosenz,ok,0,
7462,cmd_eda3274ed05f,Enrico Dandolo,https://en.wikipedia.org/wiki/Enrico_Dandolo,ok,0,
7463,cmd_2daaedafc570,Enrico Gotti,https://en.wikipedia.org/wiki/Enrico_Gotti,ok,0,
7464,cmd_e13860bc9a5c,Enrique Boniche y Taengua,https://en.wikipedia.org/wiki/Enrique_Boniche_y_Taengua,ok,0,
7465,cmd_0c37ce659e19,Enrique de Aragón Folc de Cardona y Córdoba,https://en.wikipedia.org/wiki/Enrique_de_Arag%C3%B3n_Folc_de_Cardona_y_C%C3%B3rdoba,ok,0,
7466,cmd_d5c99fc1fb18,Enrique Enríquez the Younger,https://en.wikipedia.org/wiki/Enrique_Enr%C3%ADquez_the_Younger,ok,0,
7467,cmd_cd44a6eaa17d,Enrique Fernández Heredia,https://en.wikipedia.org/wiki/Enrique_Fern%C3%A1ndez_Heredia,ok,0,
7468,cmd_cf463ebe73bc,Enrique Gorostieta,https://en.wikipedia.org/wiki/Enrique_Gorostieta,ok,0,
7469,cmd_e06430fd0eac,Enrique Jurado Barrio,https://en.wikipedia.org/wiki/Enrique_Jurado_Barrio,ok,0,
7470,cmd_92cf190eaf13,Enrique Líster,https://en.wikipedia.org/wiki/Enrique_L%C3%ADster,ok,0,
7471,cmd_d630317b18a6,Enrique MacDonnell,https://en.wikipedia.org/wiki/Enrique_MacDonnell,ok,0,
7472,cmd_43fc91ac0d53,Enrique Martínez (politician),https://en.wikipedia.org/wiki/Enrique_Mart%C3%ADnez_%28politician%29,ok,0,
7473,cmd_8b81a064a181,Enrique Molina Pico,https://en.wikipedia.org/wiki/Enrique_Molina_Pico,ok,0,
7474,cmd_363c210681a7,"Enrique O'Donnell, Conde de La Bisbal",https://en.wikipedia.org/wiki/Enrique_O%27Donnell%2C_Conde_de_La_Bisbal,ok,0,
7475,cmd_e57037e42896,Enrique Olaya Herrera,https://en.wikipedia.org/wiki/Enrique_Olaya_Herrera,ok,0,
7476,cmd_1d9e9ca31f30,Enrique Oppenheimer,https://en.wikipedia.org/wiki/Enrique_Oppenheimer,ok,0,
7477,cmd_5be55a527cb7,Enrique Peralta Azurdia,https://en.wikipedia.org/wiki/Enrique_Peralta_Azurdia,ok,0,
7478,cmd_e1854e5a1eb5,Enrique Peña Nieto,https://en.wikipedia.org/wiki/Enrique_Pe%C3%B1a_Nieto,ok,0,
7479,cmd_fd704e31b264,Enrique Peñaranda,https://en.wikipedia.org/wiki/Enrique_Pe%C3%B1aranda,ok,0,
7480,cmd_2fc8fe5878c0,Enrique Plancarte Solís,https://en.wikipedia.org/wiki/Enrique_Plancarte_Sol%C3%ADs,ok,0,
7481,cmd_3baf756f9080,Enrique Simpson,https://en.wikipedia.org/wiki/Enrique_Simpson,ok,0,
7482,cmd_e888b3edd0b8,Ensign (rank),https://en.wikipedia.org/wiki/Ensign_%28rank%29,ok,0,
7483,cmd_6936b3036658,Ensign Jean-Baptiste de Langy,,ok,0,
7484,cmd_d045d2cfb7e1,Ensign Joseph de la Durantaye,,ok,0,
7485,cmd_ba72697325fb,Enver Hadžihasanović,https://en.wikipedia.org/wiki/Enver_Had%C5%BEihasanovi%C4%87,ok,0,
7486,cmd_d288909064a6,Enver Hoxha,https://en.wikipedia.org/wiki/Enver_Hoxha,ok,0,
7487,cmd_6623a7b0cc30,Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,ok,0,
7488,cmd_07e5541013ec,Enver Šehović,https://en.wikipedia.org/wiki/Enver_%C5%A0ehovi%C4%87,ok,0,
7489,cmd_102ab4db1691,Enzo Grossi,https://en.wikipedia.org/wiki/Enzo_Grossi,ok,0,
7490,cmd_a121b1394d92,Enzo of Sardinia,https://en.wikipedia.org/wiki/Enzo_of_Sardinia,ok,0,
7491,cmd_25e5a28100c4,Eo Jae-yeon,https://en.wikipedia.org/wiki/Eo_Jae-yeon,ok,0,
7492,cmd_fbf8356cb1b5,Eohric of East Anglia,https://en.wikipedia.org/wiki/Eohric_of_East_Anglia,ok,0,
7493,cmd_0913d3425a23,Eoin O'Duffy,https://en.wikipedia.org/wiki/Eoin_O%27Duffy,ok,0,
7494,cmd_3058c66e3029,Eowa of Mercia,https://en.wikipedia.org/wiki/Eowa_of_Mercia,ok,0,
7495,cmd_11984cf83617,Eowils and Halfdan,https://en.wikipedia.org/wiki/Eowils_and_Halfdan,ok,0,
7496,cmd_2523d3769d8a,Epaminondas,https://en.wikipedia.org/wiki/Epaminondas,ok,0,
7497,cmd_154196f7f762,Ephraim Cooke,https://en.wikipedia.org/wiki/Ephraim_Cooke,ok,0,
7498,cmd_44947b715d73,Ephraim Williams,https://en.wikipedia.org/wiki/Ephraim_Williams,ok,0,
7499,cmd_e7373531aa77,Ephraïm Inoni,https://en.wikipedia.org/wiki/Ephra%C3%AFm_Inoni,ok,0,
7500,cmd_a3baee423484,Epicadus,,ok,0,
7501,cmd_2a427d8864d8,Epicydes,https://en.wikipedia.org/wiki/Epicydes,ok,0,
7502,cmd_f5e69626b7c2,Epitadas,,ok,0,
7503,cmd_2160bc961829,"Eppo, Bishop of Naumburg",https://en.wikipedia.org/wiki/Eppo%2C_Bishop_of_Naumburg,ok,0,
7504,cmd_5fd5e7c23760,Eqab bin Mohaya,https://en.wikipedia.org/wiki/Eqab_bin_Mohaya,ok,0,
7505,cmd_660d35992bd9,Equitius,,ok,0,
7506,cmd_d4fa6eb24f60,Eran boar inscription of Toramana,https://en.wikipedia.org/wiki/Eran_boar_inscription_of_Toramana,ok,0,
7507,cmd_1206b6a3b39e,Erard of Brienne-Ramerupt,https://en.wikipedia.org/wiki/Erard_of_Brienne-Ramerupt,ok,0,
7508,cmd_fb08f72790ad,Eraric,https://en.wikipedia.org/wiki/Eraric,ok,0,
7509,cmd_484daa74212d,Erasinides,https://en.wikipedia.org/wiki/Erasinides,ok,0,
7510,cmd_319d33581b83,Erasmo Escala,https://en.wikipedia.org/wiki/Erasmo_Escala,ok,0,
7511,cmd_f97361f8ff65,Erasmus D. Keyes,https://en.wikipedia.org/wiki/Erasmus_D._Keyes,ok,0,
7512,cmd_2bdab2291f14,Erasmus Fischborn,https://en.wikipedia.org/wiki/Erasmus_Fischborn,ok,0,
7513,cmd_30994c4ed791,Erasmus James Philipps,https://en.wikipedia.org/wiki/Erasmus_James_Philipps,ok,0,
7514,cmd_1c52b5fc4d83,Erasmus von Purgstall,https://en.wikipedia.org/wiki/Erasmus_von_Purgstall,ok,0,
7515,cmd_cd2f3c6ab0a1,Erasmus von Teufel,https://en.wikipedia.org/wiki/Erasmus_von_Teufel,ok,0,
7516,cmd_e421596d5412,Erastus B. Tyler,https://en.wikipedia.org/wiki/Erastus_B._Tyler,ok,0,
7517,cmd_de4bf20da6c7,Ercan Vuralhan,https://en.wikipedia.org/wiki/Ercan_Vuralhan,ok,0,
