analytic_commander_id,display_name,page_type,raw_score_contribution,weighted_score_contribution,absolute_weighted_score_contribution,weighted_presence,known_outcome_rows,engagement_rows,unknown_outcome_rows,total_absolute_weighted_score_contribution,share_of_total_score
acmd_00b73ed9929b,The Bowl,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00b9491d3116,Malikussaid,battle_article,0.46188,0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_00bb216f0fb0,Marcus Vipsanius Agrippa,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.7056856,0.801611
acmd_00bb216f0fb0,Marcus Vipsanius Agrippa,war_conflict_article,0.4,0.14,0.14,0.35,1,1,0,0.7056856,0.198389
acmd_00c068205b6a,Major Jose Quevedo,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_00c0a694b107,Safa Giray of Crimea,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00c17dd568b9,Abdirahman Farah Dirow,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00c3ba031a59,Leontiades,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00c5e5ce4cbb,Wespazjan Lanckoroński,battle_article,-0.46188,-0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_00cc79f0cd05,Gerard Herbert,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00ce9221329d,Al-Ma'mun,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_00cf88592d8c,Andrzej Kopa,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_00d2ff0422e2,Chaloner Ogle,battle_article,0.0,0.0,1.6,2.0,2,2,0,1.6,1.0
acmd_00d2ff0422e2,Chaloner Ogle,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,1.6,0.0
acmd_00d5ef52b61a,Eski of Michik,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00d9963047e4,Peter Odili,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_00dc227e8ce2,Saïd Mohammedi,war_conflict_article,0.143684,0.050289,0.050289,0.35,1,1,0,0.0502894,1.0
acmd_00ddc04b3ade,Johan Georg Ræder,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00df7406b0f0,Curio Barbasetti di Prun,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00e1832ed23d,Tanzania Salim Hassan Boma,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00e73a236a9e,New France Jean Léger de LaGrange,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00e773f7874e,Jean-Joseph Ange d'Hautpoul,battle_article,-0.302371,-0.302371,0.302371,1.0,1,1,0,0.30237120000000006,1.0
acmd_00e7adca52ad,Tekle Haymanot of Gojjam,battle_article,0.302371,0.302371,0.302371,1.0,1,1,0,0.30237120000000006,1.0
acmd_00ea81b7dad6,Josip Jelačić,battle_article,-1.385337,-1.385337,2.985337,6.0,6,6,0,2.9853368,1.0
acmd_00ef9066394e,Fakhr al-Din II,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00f2d016f8b4,Sabahattin Çakmakoğlu,war_conflict_article,0.0,0.0,0.0,0.7,0,2,2,0.0,0.0
acmd_00f5f3e7a0fe,A. K. Khandker,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_00f7a9ecb626,College of William & Mary,battle_article,0.23094,0.23094,0.23094,1.0,1,1,0,0.23094000000000003,1.0
acmd_00f9b0140cfc,Henry Inman,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_00febeacce87,Martín de Álzaga,operation_article,0.46188,0.369504,0.369504,0.8,1,1,0,0.36950400000000005,1.0
acmd_010553e8174a,UKGBI Ian Hamilton,battle_article,0.4,0.4,0.4,1.0,1,1,0,0.4,1.0
acmd_0106abe037a3,Ragnall ua Ímair,battle_article,0.0,0.0,0.0,2.0,1,2,1,0.0,0.0
acmd_0107b2665aea,Demetrius I of Bactria,war_conflict_article,-0.565686,-0.19799,0.19799,0.35,1,1,0,0.19798996,1.0
acmd_0109154d5478,"Philip, Landgrave of Hesse-Homburg",battle_article,0.46188,0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_0109c0dcf733,John de Vesci,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_010a622eb150,Stefan Potocki,battle_article,0.0,0.0,0.0,2.0,0,2,2,0.0,0.0
acmd_010b289df061,Shimazu Takahisa,battle_article,1.593251,1.593251,1.593251,3.0,3,3,0,1.5932512,1.0
acmd_010bb6278022,Lodewijk van Boisot,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_010c82de430e,Dai Siyuan,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0110c3488805,James Raymond,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
