"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"11129","1940 Cochinchina uprising","battle_53729539","needs_review","24","1","19","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1940 Cochinchina uprising","53729539","full_parse_fallback",""
"11131","Action in the Strait of Otranto","battle_20954723","needs_review","32","1","23","8","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_b_min|casualties_side_b_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Action in the Strait of Otranto","20954723","full_parse_fallback",""
"11132","Action off Cape Passero","battle_16545084","needs_review","35","1","26","8","rejected_candidate","war_name|location_raw|location_normalized|latitude|longitude|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Action off Cape Passero","16545084","full_parse_fallback",""
"11171","Battle of Saumur (1940)","battle_9870960","needs_review","4","2","2","0","battle_id_source_title_mismatch|invalid_result_type","latitude|longitude","","Battle of Saumur (1940)","9870960","wikitext_batch",""
"11193","Bombing of Cologne in World War II","battle_2792636","needs_review","9","1","4","4","missing_field","result_raw|result_normalized|result_type|notes","acceptance_reason|text_length|categories|extraction_confidence","Bombing of Cologne in World War II","2792636","wikitext_batch",""
"11196","British Commando operations during the Second World War","battle_27342087","needs_review","14","2","8","4","missing_commanders|missing_field","date_raw|start_date|end_date|war_name|result_raw|result_normalized|commander_side_a_raw|notes","acceptance_reason|text_length|categories|extraction_confidence","British Commando operations during the Second World War","27342087","wikitext_batch",""
"11198","Czortków uprising","battle_16023516","needs_review","29","1","24","4","rejected_candidate","date_raw|start_date|end_date|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Czortków uprising","16023516","full_parse_fallback",""
"11203","German invasion of Belgium (1940)","battle_23180963","needs_review","32","1","24","7","rejected_candidate","date_raw|start_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|list_page_origin|parent_list_page|source_family|extraction_confidence","German invasion of Belgium (1940)","23180963","full_parse_fallback",""
"11204","German invasion of the Netherlands","battle_3145279","needs_review","36","1","27","8","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","German invasion of the Netherlands","3145279","full_parse_fallback",""
"11303","Battle of Thermopylae (1941)","battle_9976689","needs_review","13","1","7","5","invalid_result_type","location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Thermopylae (1941)","9976689","wikitext_batch",""
"11328","Defense of Brest Fortress","battle_15772139","needs_review","32","1","27","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|page_type|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","Defense of Brest Fortress","15772139","full_parse_fallback",""
"11332","Drama uprising","battle_41196690","needs_review","25","1","20","4","rejected_candidate","date_raw|start_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Drama uprising","41196690","full_parse_fallback",""
"11333","Drvar uprising","battle_63713916","needs_review","30","1","25","4","rejected_candidate","date_raw|start_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Drvar uprising","63713916","full_parse_fallback",""
