analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c0b52ac19a04,Frederick Trogisio,https://en.wikipedia.org/wiki/Frederick_Trogisio,1,1,0,0,0,verified_core
acmd_c0b604ecfc29,Christopher Mutsvangwa,https://en.wikipedia.org/wiki/Christopher_Mutsvangwa,1,1,0,0,0,verified_core
acmd_c0b6258878a6,Apa Qaghan,https://en.wikipedia.org/wiki/Apa_Qaghan,1,1,0,0,0,verified_core
acmd_c0ba6ab01cee,Liamine Zéroual,https://en.wikipedia.org/wiki/Liamine_Z%C3%A9roual,1,1,0,0,0,verified_core
acmd_c0c2a355ecc8,Raja Wodeyar I,https://en.wikipedia.org/wiki/Raja_Wodeyar_I,1,0,1,0,0,verified_broad
acmd_c0c4a58375bd,Burchard Hornhauzen,,1,1,0,0,0,verified_core
acmd_c0c7af6f243e,Lubb ibn Muhammad,https://en.wikipedia.org/wiki/Lubb_ibn_Muhammad,2,2,0,0,0,verified_core
acmd_c0c7ea31cd92,Emerik Derenčin,https://en.wikipedia.org/wiki/Emerik_Deren%C4%8Din,2,2,0,0,0,verified_core
acmd_c0d1fdba42ee,Ou Zhen,https://en.wikipedia.org/wiki/Ou_Zhen,1,1,0,0,0,verified_core
acmd_c0d229ddc6cf,John Parker Boyd,https://en.wikipedia.org/wiki/John_Parker_Boyd,1,1,0,0,0,verified_core
acmd_c0d7a8fc502d,William Clapham,https://en.wikipedia.org/wiki/William_Clapham,4,4,0,0,0,verified_core
acmd_c0d85338b650,Coastwatchers,https://en.wikipedia.org/wiki/Coastwatchers,1,0,1,0,0,verified_broad
acmd_c0dadb230dcd,Khalifa bin Zayed Al Nahyan,https://en.wikipedia.org/wiki/Khalifa_bin_Zayed_Al_Nahyan,1,1,0,0,0,verified_core
acmd_c0dadcfc4262,Portugal D. António de Noronha,,1,1,0,0,0,verified_core
acmd_c0dc142afab8,Muhammad Az-Zubayr Ibn Umar,,1,1,0,0,0,verified_core
acmd_c0ddb078598b,Kurt Waldheim,https://en.wikipedia.org/wiki/Kurt_Waldheim,1,1,0,0,0,verified_core
acmd_c0de54293244,Mohammed Omar Osman,https://en.wikipedia.org/wiki/Mohammed_Omar_Osman,1,1,0,0,0,verified_core
