display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,current_outcome_category,unresolved_reason
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,battle_30583,Thirty Years' War,war_conflict_article,side_a,Peace of Westphalia,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustav Horn,https://en.wikipedia.org/wiki/Gustav_Horn,battle_30583,Thirty Years' War,war_conflict_article,side_a,Peace of Westphalia,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,battle_30583,Thirty Years' War,war_conflict_article,side_a,Peace of Westphalia,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,battle_30583,Thirty Years' War,war_conflict_article,side_b,Peace of Westphalia,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,battle_12259648,Battle of Khotyn (1621),battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_12259648,Battle of Khotyn (1621),battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stanisław Koniecpolski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Koniecpolski,battle_36362850,Zhmaylo uprising,battle_article,side_a,Treaty of Kurukove,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,battle_2938870,War of the Mantuan Succession,war_conflict_article,side_b,"Victory for the Duke of Nevers, Treaty of Cherasco",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stanisław Koniecpolski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Koniecpolski,battle_12996736,Fedorovych uprising,battle_article,side_a,Treaty of Pereiaslav (1630),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,battle_38566252,Swedish intervention in the Thirty Years' War,war_conflict_article,side_a,Peace of Prague,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,battle_38566252,Swedish intervention in the Thirty Years' War,war_conflict_article,side_a,Peace of Prague,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustav Horn,https://en.wikipedia.org/wiki/Gustav_Horn,battle_38566252,Swedish intervention in the Thirty Years' War,war_conflict_article,side_a,Peace of Prague,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Cardinal-Infante Ferdinand of Austria,https://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand_of_Austria,battle_38566252,Swedish intervention in the Thirty Years' War,war_conflict_article,side_b,Peace of Prague,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,battle_101666,Battle of Lützen (1632),battle_article,side_b,Tactical victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,battle_6513835,Battle of the Alte Veste,battle_article,side_b,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,battle_6513835,Battle of the Alte Veste,battle_article,side_b,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,battle_2575587,Siege of Nuremberg,battle_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,battle_2575587,Siege of Nuremberg,battle_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Frederick Henry, Prince of Orange",https://en.wikipedia.org/wiki/Frederick_Henry%2C_Prince_of_Orange,battle_22337353,Siege of Schenkenschans,battle_article,side_a,First siege: Spanish victory Second siege: Dutch victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Cardinal-Infante Ferdinand of Austria,https://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand_of_Austria,battle_22337353,Siege of Schenkenschans,battle_article,side_b,First siege: Spanish victory Second siege: Dutch victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_17921690,Piedmontese Civil War,war_conflict_article,side_a,1642 treaties of Turin,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_9709,English Civil War,war_conflict_article,side_a,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_3470446,Battle of Gainsborough,battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_1591752,Battle of Winceby,battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_17778863,Siege of Hull (1643),battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_31211208,Siege of Lincoln,battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_10393600,Battle of Herbsthausen,battle_article,side_b,Bavarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_105805,Battle of Naseby,battle_article,side_a,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,battle_77125967,Siege of Brno,battle_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_59256153,Battle of Bovey Heath,battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_8631861,Battle of Korsuń,battle_article,side_a,Cossack–Tatar victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_23789144,Battle of Preston (1648),battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_8663197,Battle of Pyliavtsi,battle_article,side_a,Cossack–Tatar victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_8566633,Battle of Zhovti Vody,battle_article,side_a,Cossack–Tatar victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,battle_8566633,Battle of Zhovti Vody,battle_article,side_b,Cossack–Tatar victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_1191347,Khmelnytsky Uprising,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_1191347,Khmelnytsky Uprising,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,battle_1191347,Khmelnytsky Uprising,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_1057632,Second English Civil War,war_conflict_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_3072706,Siege of Pembroke,battle_article,side_b,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_4581924,Siege of Waterford,battle_article,side_a,Parliamentarian victory New Model Army take Waterford after a second siege.,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_70181,Battle of Worcester,battle_article,side_a,Parliamentarian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,battle_62713,First Anglo-Dutch War,war_conflict_article,side_a,Treaty of Westminster (1654),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,battle_62713,First Anglo-Dutch War,war_conflict_article,side_b,Treaty of Westminster (1654),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_14883756,Battle of Horodok (1655),battle_article,side_a,Muscovite–Cossack victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,battle_65614,Second Anglo-Dutch War,war_conflict_article,side_a,Treaty of Breda (1667),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,battle_323844,War of Devolution,war_conflict_article,side_a,Treaty of Aix-la-Chapelle (1668),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_323844,War of Devolution,war_conflict_article,side_a,Treaty of Aix-la-Chapelle (1668),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_323844,War of Devolution,war_conflict_article,side_a,Treaty of Aix-la-Chapelle (1668),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,battle_323844,War of Devolution,war_conflict_article,side_a,Treaty of Aix-la-Chapelle (1668),unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,battle_323886,Franco-Dutch War,war_conflict_article,side_a,Treaties of Nijmegen,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_323886,Franco-Dutch War,war_conflict_article,side_a,Treaties of Nijmegen,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_323886,Franco-Dutch War,war_conflict_article,side_a,Treaties of Nijmegen,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,battle_323886,Franco-Dutch War,war_conflict_article,side_a,Treaties of Nijmegen,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,battle_323886,Franco-Dutch War,war_conflict_article,side_a,Treaties of Nijmegen,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
