rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
28,80.77460168697283,very_strong,acmd_ed6b2e7bab39,Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,27,25,0,0,2,18,0.6666666666666666,0.4021031793997673,92.40862230552952,,48.54732895970009,99.10965323336457,98.73477038425492,64.1518275538894,22.30552952202437,436,0.027237354085603113,battle_dominant,
29,80.66963448922212,very_strong,acmd_d7b7bb3c084e,Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,15,12,0,0,3,15,1.0,0.27744529659723266,71.41518275538894,,82.89597000937208,99.10965323336457,89.87816307403936,75.72633552014996,88.89409559512652,603,0.08045977011494251,battle_dominant,
30,80.32677288347392,very_strong,acmd_882696f48db2,Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,11,10,0,0,1,10,0.9090909090909091,0.38240558440760003,88.28491096532333,,65.21399562636675,90.72164948453609,82.14620431115276,47.46954076850984,72.11808809746955,30,0.033816425120772944,battle_dominant,
31,80.04951577631991,very_strong,acmd_e106c97dfef1,Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,10,7,0,0,3,10,1.0,0.4160372640575232,93.15838800374883,,60.09059668853484,73.33645735707591,70.10309278350515,75.72633552014996,88.89409559512652,19,0.13043478260869562,battle_dominant,
32,80.02249297094657,very_strong,acmd_e2d4eedc368b,Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,9,6,0,0,3,6,0.6666666666666666,0.43636363636363634,95.12652296157451,,63.12089971883787,85.56701030927834,61.668228678537965,75.72633552014996,26.14807872539831,26,0.14893617021276592,mixed_profile,
33,79.93830053108404,strong,acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,13,13,0,0,0,11,0.8461538461538461,0.36521434104741746,86.97282099343954,,67.69759450171821,99.10965323336457,89.55014058106842,18.181818181818183,58.71602624179943,1617,0.0,battle_dominant,
34,79.9100281162137,strong,acmd_2bff122dc563,Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,7,6,0,0,1,6,0.8571428571428571,0.45503624339487747,96.71977507029054,,63.12089971883787,89.31583880037488,51.452671040299904,47.46954076850984,59.27835051546392,29,0.05511811023622047,battle_dominant,
35,79.68431740081225,strong,acmd_7efa0f23739e,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,12,11,0,0,1,10,0.8333333333333334,0.4829114104975927,98.12558575445173,,54.99843798812871,73.33645735707591,85.2389878163074,47.46954076850984,53.88940955951266,19,0.030837004405286344,battle_dominant,
36,79.65745079662605,strong,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,12,12,0,0,0,10,0.8333333333333334,0.5333333333333333,99.43767572633551,,44.89222118088097,92.54920337394564,87.20712277413308,18.181818181818183,55.95126522961574,32,0.0,battle_dominant,
37,79.38956576069977,strong,acmd_70fd3b0db695,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,20,20,0,0,0,18,0.9,0.5503991981263464,99.53139643861293,,33.34895345204623,95.31396438612933,96.86035613870665,18.181818181818183,71.41518275538894,37,0.0,battle_dominant,
