model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
battle_only_baseline,top_50,34,André Masséna,revolutionary_napoleonic,96.96002511511092
battle_only_baseline,top_50,35,Matvei Platov,revolutionary_napoleonic,96.81352030138135
battle_only_baseline,top_50,36,Baybars,medieval,96.69840937630808
battle_only_baseline,top_50,37,Ubadah ibn al-Samit,medieval,96.66701548765174
battle_only_baseline,top_50,38,Ferdinand Foch,world_wars,96.66701548765172
battle_only_baseline,top_50,39,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,96.54143993302637
battle_only_baseline,top_50,40,Jean Victor Marie Moreau,revolutionary_napoleonic,96.4524905818334
battle_only_baseline,top_50,41,Kuroda Yoshitaka,early_modern,96.43679363750522
battle_only_baseline,top_50,42,Louis XIV,early_modern,96.40016743407284
battle_only_baseline,top_50,43,Jeremi Wiśniowiecki,early_modern,96.32168271243198
battle_only_baseline,top_50,44,Cardinal-Infante Ferdinand of Austria,early_modern,96.19610715780661
battle_only_baseline,top_50,45,Alexander the Great,ancient,96.13331938049393
battle_only_baseline,top_50,46,Charles Mangin,world_wars,96.02344077019674
battle_only_baseline,top_50,47,Erich Hoepner,world_wars,96.00774382586857
battle_only_baseline,top_50,48,Charles XII of Sweden,early_modern,95.96588530766012
battle_only_baseline,top_50,49,Mehmed II,medieval,95.91879447467561
battle_only_baseline,top_50,50,Alasdair Mac Colla,early_modern,95.69380493930514
battle_only_baseline,top_100,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_100,2,Jean Lannes,revolutionary_napoleonic,99.8430305567183
battle_only_baseline,top_100,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_100,4,Takeda Shingen,early_modern,99.60757639179573
battle_only_baseline,top_100,5,Alexander Suvorov,revolutionary_napoleonic,99.60234407701968
battle_only_baseline,top_100,6,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_100,7,Saladin,medieval,99.32503139388866
battle_only_baseline,top_100,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_100,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.88028463792382
battle_only_baseline,top_100,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.78610297195479
battle_only_baseline,top_100,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_100,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_100,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_100,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_100,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_100,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_100,17,Katō Kiyomasa,early_modern,98.15822519882796
battle_only_baseline,top_100,18,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_100,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_100,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_100,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_100,22,Lennart Torstensson,early_modern,97.59836751778988
battle_only_baseline,top_100,23,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_100,24,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.519882796149
battle_only_baseline,top_100,25,Robert L. Eichelberger,world_wars,97.4361657597321
battle_only_baseline,top_100,26,Walter Krueger,world_wars,97.4361657597321
battle_only_baseline,top_100,27,Maurice de Saxe,early_modern,97.3890749267476
battle_only_baseline,top_100,28,Subutai,medieval,97.2791963164504
battle_only_baseline,top_100,29,Jan Karol Chodkiewicz,early_modern,97.19024696525742
battle_only_baseline,top_100,30,John Monash,world_wars,97.16931770615321
battle_only_baseline,top_100,31,Karađorđe Petrović,revolutionary_napoleonic,97.16931770615321
battle_only_baseline,top_100,32,Oliver Cromwell,early_modern,97.0228128924236
battle_only_baseline,top_100,33,Arthur Currie,world_wars,97.01758057764755
battle_only_baseline,top_100,34,André Masséna,revolutionary_napoleonic,96.96002511511092
