rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
664,26.475672215108833,qualified,acmd_ae7f67464a94,Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,world_wars,9,5,0.5555555555555556,-0.22360180074227054,10.371318822023047,72.79129321382842,13.700384122919335,8,25,battle_dominant,
665,26.386043533930856,qualified,acmd_ade645015034,Dmitry Dokhturov,https://en.wikipedia.org/wiki/Dmitry_Dokhturov,revolutionary_napoleonic,8,5,0.625,-0.2034385259273589,12.291933418693981,64.40460947503202,19.39820742637644,5,8,battle_dominant,
666,26.379641485275286,qualified,acmd_d6b39fb3c159,Fabian Gottlieb von der Osten-Sacken,https://en.wikipedia.org/wiki/Fabian_Gottlieb_von_der_Osten-Sacken,revolutionary_napoleonic,7,6,0.8571428571428571,-0.24415650530736702,8.706786171574905,53.77720870678617,51.40845070422535,6,15,battle_dominant,
667,26.370038412291933,qualified,acmd_5ff0152d6088,Frederik van den Bergh,https://en.wikipedia.org/wiki/Frederik_van_den_Bergh,early_modern,5,5,1.0,-0.1050739804881821,21.44686299615877,14.596670934699105,65.68501920614597,3,9,battle_dominant,
668,26.23559539052497,qualified,acmd_422bed77f1e1,"Friedrich Wilhelm, Fürst zu Hohenlohe-Kirchberg",https://en.wikipedia.org/wiki/Friedrich_Wilhelm%2C_F%C3%BCrst_zu_Hohenlohe-Kirchberg,revolutionary_napoleonic,5,4,0.8,-0.03411515870916522,30.089628681177977,14.596670934699105,30.217669654289374,4,2,battle_dominant,
669,26.15236875800256,qualified,acmd_4f456e88ab61,Jean-Andoche Junot,https://en.wikipedia.org/wiki/Jean-Andoche_Junot,revolutionary_napoleonic,6,6,1.0,-0.2532625467536777,8.066581306017925,38.348271446862995,78.16901408450704,4,11,battle_dominant,
670,26.101152368758,qualified,acmd_aee8302eda12,Hasdrubal Gisco,https://en.wikipedia.org/wiki/Hasdrubal_Gisco,ancient,5,5,1.0,-0.11064729896420077,20.998719590268884,14.596670934699105,65.68501920614597,1,10,battle_dominant,
671,26.081946222791295,qualified,acmd_b0676fc7cd70,Ludwig von Wohlgemuth,https://en.wikipedia.org/wiki/Ludwig_von_Wohlgemuth,long_nineteenth_century,5,4,0.8,-0.03664193265309406,29.833546734955185,14.596670934699105,30.217669654289374,2,1,battle_dominant,
672,25.94750320102433,qualified,acmd_80eb96d6cb91,Franz Schlik,https://en.wikipedia.org/wiki/Franz_Schlik,long_nineteenth_century,5,5,1.0,-0.11278109077907317,20.742637644046095,14.596670934699105,65.68501920614597,1,0,battle_dominant,
673,25.79385403329065,qualified,acmd_f8502bef92c6,Shivaji,https://en.wikipedia.org/wiki/Shivaji,early_modern,5,5,1.0,-0.11372733955801682,20.486555697823302,14.596670934699105,65.68501920614597,4,20,battle_dominant,
674,25.726632522407165,qualified,acmd_4ff8c7730586,"Maximilian Anton Karl, Count Baillet de Latour",https://en.wikipedia.org/wiki/Maximilian_Anton_Karl%2C_Count_Baillet_de_Latour,revolutionary_napoleonic,7,6,0.8571428571428571,-0.25797353209365365,7.618437900128041,53.77720870678617,51.40845070422535,5,2,battle_dominant,
675,25.726632522407165,qualified,acmd_f9dc4d5f27c4,Zamorin,https://en.wikipedia.org/wiki/Zamorin,early_modern,7,6,0.8571428571428571,-0.25797353209365365,7.618437900128041,53.77720870678617,51.40845070422535,5,262,battle_dominant,
676,25.717029449423812,qualified,acmd_6194f1e14ba0,Theepan,https://en.wikipedia.org/wiki/Theepan,contemporary,5,5,1.0,-0.11419676538855594,20.358514724711906,14.596670934699105,65.68501920614597,3,16,battle_dominant,
677,25.62099871959027,qualified,acmd_94d6a8436561,Julián Romero,https://en.wikipedia.org/wiki/Juli%C3%A1n_Romero,early_modern,5,4,0.8,-0.04506727501280319,29.06530089628681,14.596670934699105,30.217669654289374,2,19,battle_dominant,
678,25.6145966709347,qualified,acmd_397bd9fc572d,Enrique Líster,https://en.wikipedia.org/wiki/Enrique_L%C3%ADster,world_wars,6,6,1.0,-0.2631962429892246,7.170294494238156,38.348271446862995,78.16901408450704,1,2,battle_dominant,
679,25.54417413572343,qualified,acmd_738aa21471ec,Luigi Capello,https://en.wikipedia.org/wiki/Luigi_Capello,world_wars,5,3,0.6,0.005120637443727668,34.31498079385403,14.596670934699105,8.706786171574905,5,5,battle_dominant,
680,25.160051216389245,qualified,acmd_2236361dc484,François Joseph Westermann,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Westermann,revolutionary_napoleonic,7,5,0.7142857142857143,-0.18158458288289034,13.828425096030731,53.77720870678617,22.791293213828425,3,0,battle_dominant,
681,25.121638924455826,qualified,acmd_f416e30656c5,"Albrecht, Duke of Württemberg",https://en.wikipedia.org/wiki/Albrecht%2C_Duke_of_W%C3%BCrttemberg,world_wars,5,3,0.6,0.0,33.61075544174136,14.596670934699105,8.706786171574905,4,1,battle_dominant,
682,25.121638924455826,qualified,acmd_224d435cffa0,Andrei Grechko,https://en.wikipedia.org/wiki/Andrei_Grechko,world_wars,5,3,0.6,0.0,33.61075544174136,14.596670934699105,8.706786171574905,4,11,battle_dominant,
683,25.102432778489117,qualified,acmd_411ce464bec0,Li Hongzhang,https://en.wikipedia.org/wiki/Li_Hongzhang,long_nineteenth_century,5,5,1.0,-0.11832392148795634,19.334186939820743,14.596670934699105,65.68501920614597,4,39,battle_dominant,
684,24.929577464788732,qualified,acmd_382ce44ba251,Khosrow I,https://en.wikipedia.org/wiki/Khosrow_I,medieval,5,4,0.8,-0.0571909498295824,27.91293213828425,14.596670934699105,30.217669654289374,5,35,battle_dominant,
685,24.82074263764405,qualified,acmd_d6079996616b,Nikolay Raevsky,https://en.wikipedia.org/wiki/Nikolay_Raevsky,revolutionary_napoleonic,8,6,0.75,-0.2949297709520329,4.99359795134443,64.40460947503202,38.15620998719591,4,5,battle_dominant,
686,24.775928297055057,qualified,acmd_e7d15992f668,Saddam Hussein,https://en.wikipedia.org/wiki/Saddam_Hussein,cold_war,9,4,0.4444444444444444,-0.22419037041185902,10.243277848911651,72.79129321382842,2.880921895006402,8,30,battle_dominant,
687,24.69910371318822,qualified,acmd_84c54e0ffb4a,Ferrante Gonzaga,https://en.wikipedia.org/wiki/Ferrante_Gonzaga,early_modern,5,4,0.8,-0.06278173302695847,27.528809218950062,14.596670934699105,30.217669654289374,4,29,battle_dominant,
688,24.46862996158771,qualified,acmd_2486d30127dd,Menno van Coehoorn,https://en.wikipedia.org/wiki/Menno_van_Coehoorn,early_modern,5,4,0.8,-0.06592056444942071,27.144686299615877,14.596670934699105,30.217669654289374,3,29,battle_dominant,
