rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
46,81.062124248497,very_strong,acmd_d1625dd6e2c5,Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,26,5,7,0,14,16,0.6153846153846154,0.23585816633544654,66.39946559786239,96.65998663994657,88.93342240035628,81.56312625250501,93.45357381429525,99.46559786239145,32.66533066132264,22,0.6649916247906198,war_campaign_heavy,higher_level_dependent
47,80.89579158316633,very_strong,acmd_8e02c61ad395,Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,world_wars,13,5,2,3,3,10,0.7692307692307693,0.40418570448565483,91.98396793587175,85.30394121576487,92.00623469160543,27.75551102204409,80.36072144288578,92.88577154308616,65.13026052104209,3,0.4623655913978494,mixed_profile,
48,80.82631930527722,very_strong,acmd_7fb0d9d2735e,Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,29,16,11,1,1,22,0.7586206896551724,0.17704556383142792,59.118236472945895,97.6619906479626,94.35537742150969,78.02271209084837,97.99599198396794,98.53039412157648,56.78022712090849,20,0.30510314875135724,mixed_profile,
49,80.76820307281228,very_strong,acmd_b7e856700f22,Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,20,10,9,0,1,20,1.0,0.3849834978503778,87.84235136940548,94.8563794255177,69.3832108661768,33.86773547094188,94.78957915831663,98.26319305277221,91.41616566466266,4,0.40298507462686567,operation_heavy,
50,80.56579826319305,very_strong,acmd_6708954ecbb0,Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,16,12,0,0,4,11,0.6875,0.42757309223067824,93.52037408149633,91.91716766867067,56.54642618570474,78.02271209084837,91.24916499665999,62.725450901803605,41.616566466265866,20,0.1044776119402985,battle_dominant,
51,80.47695390781563,very_strong,acmd_231817819511,Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,31,17,0,6,8,21,0.6774193548387096,0.29683598196084254,73.34669338677354,98.86439545758184,72.32242262302383,73.48029392117569,97.92919171676687,96.92718770875084,44.15497661990648,18,0.2552026286966046,mixed_profile,
52,80.14829659318637,very_strong,acmd_0cf8151e7cf9,Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,23,8,13,0,2,17,0.7391304347826086,0.42958029351910965,93.65397461589846,95.05678022712091,70.34068136272545,27.75551102204409,94.72277889111557,99.1315965263861,41.41616566466266,3,0.5209580838323354,operation_heavy,higher_level_dependent
53,80.063460253841,very_strong,acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,13,9,3,1,0,13,1.0,0.5644132271157912,99.53239812959251,86.3059452237809,69.3832108661768,20.741482965931866,88.51035404141616,86.53974615898463,91.41616566466266,2,0.2468619246861925,mixed_profile,
54,80.04676018704073,very_strong,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,13,12,0,0,1,11,0.8461538461538461,0.55,99.43219772879091,86.5063460253841,50.02226675573369,92.71877087508351,89.24515698062793,18.80427521710087,61.857047428189716,32,0.02834008097165992,battle_dominant,
55,79.88977955911824,strong,acmd_542b4086f360,Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,35,21,0,3,11,25,0.7142857142857143,0.23672597452073244,66.5998663994656,99.39879759519037,89.18949009129369,57.64863059452237,98.99799599198397,96.12558450233801,51.1690046760187,11,0.20754716981132076,mixed_profile,
56,79.85905143620575,strong,acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,22,13,7,0,2,15,0.6818181818181818,0.4272196106499504,93.45357381429525,95.7247828991316,72.02182142061902,27.75551102204409,95.65798263193052,95.99198396793587,27.588510354041418,3,0.2905866302864939,mixed_profile,
57,79.78132264529057,strong,acmd_47eb5a60d69d,Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,16,10,0,1,5,6,0.375,0.39574234632727945,88.57715430861724,84.16833667334669,87.33021598753062,99.03139612558451,89.11155644622578,79.55911823647295,2.2712090848363395,161,0.18699186991869915,mixed_profile,
58,79.77755511022045,strong,acmd_e106c97dfef1,Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,11,7,0,1,3,10,0.9090909090909091,0.41603731287281165,92.78557114228457,80.62792251169004,63.816521932754405,75.75150300601202,76.61990647962593,67.90247160988643,81.49632598530394,19,0.186046511627907,mixed_profile,
59,79.67267869071476,strong,acmd_7efa0f23739e,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,13,11,0,1,1,11,0.8461538461538461,0.5038275598002527,98.53039412157648,89.44555778223113,54.89868626141171,75.75150300601202,87.97595190380761,30.360721442885776,61.289245156980634,19,0.053763440860215055,battle_dominant,
60,79.66533066132264,strong,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,14,12,0,1,1,14,1.0,0.5301499817791162,98.9311957247829,88.30995323981296,49.087063014918726,65.4308617234469,90.28056112224448,45.65798263193053,91.41616566466266,14,0.06976744186046512,battle_dominant,
61,79.42418169672679,strong,acmd_f8f02c901368,Dragut,https://en.wikipedia.org/wiki/Dragut,early_modern,11,8,0,0,3,8,0.7272727272727273,0.3619889079730469,85.57114228456913,88.37675350701403,71.99955466488534,87.7755511022044,79.45891783567134,51.36940547762191,40.31396125584502,27,0.11602209944751378,battle_dominant,
