rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
2240,14.435956467141065,qualified,acmd_f129dd6bd25c,Cyprian Belzig von Kreutz,https://en.wikipedia.org/wiki/Cyprian_Belzig_von_Kreutz,long_nineteenth_century,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,1,battle_dominant,
2241,14.435956467141065,qualified,acmd_55c63ddb8eb0,Dol Mudarov,https://en.wikipedia.org/wiki/Dol_Mudarov,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,1,0,battle_dominant,
2242,14.435956467141065,qualified,acmd_13a86d7ae5de,"Francisco de Velasco y Tovar, Conde de Melgar",https://en.wikipedia.org/wiki/Francisco_de_Velasco_y_Tovar%2C_Conde_de_Melgar,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,8,battle_dominant,
2243,14.435956467141065,qualified,acmd_2c39a51005ee,George IV of Georgia,https://en.wikipedia.org/wiki/George_IV_of_Georgia,medieval,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,9,battle_dominant,
2244,14.435956467141065,qualified,acmd_816324cc8d67,Hermann Kövess von Kövessháza,https://en.wikipedia.org/wiki/Hermann_K%C3%B6vess_von_K%C3%B6vessh%C3%A1za,world_wars,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,2,battle_dominant,
2245,14.435956467141065,qualified,acmd_994be8578ea0,Jean-Antoine Verdier,https://en.wikipedia.org/wiki/Jean-Antoine_Verdier,revolutionary_napoleonic,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,7,battle_dominant,
2246,14.435956467141065,qualified,acmd_f6b1929f52a7,Josiah Tattnall III,https://en.wikipedia.org/wiki/Josiah_Tattnall_III,long_nineteenth_century,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,3,battle_dominant,
2247,14.435956467141065,qualified,acmd_bfc33e2fb01e,Masakazu Kawabe,https://en.wikipedia.org/wiki/Masakazu_Kawabe,world_wars,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,7,battle_dominant,
2248,14.435956467141065,qualified,acmd_e937740ee26e,Oskar Potiorek,https://en.wikipedia.org/wiki/Oskar_Potiorek,world_wars,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,1,0,battle_dominant,
2249,14.435956467141065,qualified,acmd_0d784aeb0e08,Saint Olaf,https://en.wikipedia.org/wiki/Saint_Olaf,medieval,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,14,battle_dominant,
2250,14.435956467141065,qualified,acmd_b9775a0d987c,Savari de Mauléon,https://en.wikipedia.org/wiki/Savari_de_Maul%C3%A9on,medieval,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,13,battle_dominant,
2251,14.435956467141065,qualified,acmd_84f90c90b357,Sigismund Báthory,https://en.wikipedia.org/wiki/Sigismund_B%C3%A1thory,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,6,battle_dominant,
2252,14.435956467141065,qualified,acmd_01ce35aaac4b,Simon Forgách,https://en.wikipedia.org/wiki/Simon_Forg%C3%A1ch,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,2,battle_dominant,
2253,14.435956467141065,qualified,acmd_39dd6015aac5,Taira no Munemori,https://en.wikipedia.org/wiki/Taira_no_Munemori,medieval,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,1,2,battle_dominant,
2254,14.435956467141065,qualified,acmd_04b3c8c59b88,Wilhelm Mauritz Klingspor,https://en.wikipedia.org/wiki/Wilhelm_Mauritz_Klingspor,revolutionary_napoleonic,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,1,0,battle_dominant,
2255,14.435956467141065,qualified,acmd_ea69a9b8704d,Wilhelm Reinhard von Neipperg,https://en.wikipedia.org/wiki/Wilhelm_Reinhard_von_Neipperg,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,4,battle_dominant,
2256,14.435956467141065,qualified,acmd_6c4984772c14,Wilhelm von Roggendorf,https://en.wikipedia.org/wiki/Wilhelm_von_Roggendorf,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,12,battle_dominant,
2257,14.435956467141065,qualified,acmd_0a0143cebfdf,Ōno Harunaga,https://en.wikipedia.org/wiki/%C5%8Cno_Harunaga,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,1,battle_dominant,
2258,14.069694432817077,qualified,acmd_dfb10f5c58ef,Genjiro Hirata,https://en.wikipedia.org/wiki/Genjiro_Hirata,world_wars,4,4,1.0,-0.33333333333333326,1.7371285056508998,51.06739221431561,,2,0,battle_dominant,
2259,14.069694432817077,qualified,acmd_78e6ab578801,"Luis Fermín de Carvajal, Conde de la Unión",https://en.wikipedia.org/wiki/Luis_Ferm%C3%ADn_de_Carvajal%2C_Conde_de_la_Uni%C3%B3n,revolutionary_napoleonic,4,4,1.0,-0.33333333333333326,1.7371285056508998,51.06739221431561,,1,0,battle_dominant,
2260,14.069694432817077,qualified,acmd_5f04b94b7bf5,"Pierre Terrail, seigneur de Bayard",https://en.wikipedia.org/wiki/Pierre_Terrail%2C_seigneur_de_Bayard,early_modern,4,4,1.0,-0.33333333333333326,1.7371285056508998,51.06739221431561,,3,21,battle_dominant,
