display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,35.0,49.0,11.0,17.0,6.0,9.0,29.0,88.41869398207427,87.15030060120242,84.87886884880874,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 11 but not stable enough for the headline core.,23,22,19,26,21,V=17; D=4; N=0; U=2,B=22; O=0; C=0; W=1,battle_dominant,model_sensitive,
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,7.0,14.0,12.0,13.0,13.0,10.0,7.0,95.95070422535211,87.04475617902472,85.40647962591852,robust_elite_core,very_high,Trust-first v2 rank 12 with very_high confidence; Top-25 in 6 trusted models and rank spread 7.,38,36,14,11,35,V=28; D=7; N=0; U=3,B=36; O=0; C=0; W=2,battle_dominant,core_stable,
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,46.0,57.0,13.0,6.0,5.0,16.0,3.0,84.71830985915493,86.81563126252505,87.92228902248942,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,7,7,10,9,V=8; D=1; N=0; U=0,B=7; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,116.0,62.0,14.0,15.0,15.0,12.0,11.0,73.60755441741358,86.4622578490314,85.07136495212649,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",19,9,15,10,12,V=11; D=1; N=0; U=7,B=9; O=10; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,59.0,96.0,15.0,24.0,85.0,28.0,119.0,82.06145966709346,85.22712090848363,83.21821420619015,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",16,15,9,12,14,V=10; D=4; N=0; U=2,B=15; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,97.0,56.0,16.0,19.0,29.0,57.0,15.0,76.28361075544174,85.14094856379425,84.50745936317078,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,11,7,18,9,V=7; D=2; N=0; U=4,B=11; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,124.0,85.0,17.0,27.0,123.0,30.0,40.0,72.75928297055059,85.12224448897796,82.32509463371188,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",14,8,11,29,9,V=5; D=3; N=1; U=5,B=8; O=1; C=0; W=5,battle_dominant,highly_model_sensitive,
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,108.0,64.0,18.0,18.0,25.0,6.0,9.0,74.9775928297055,85.07348029392116,84.58661767980405,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,11,7,13,7,V=6; D=1; N=0; U=4,B=11; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,22.0,34.0,19.0,28.0,19.0,33.0,43.0,90.81626120358516,84.95858383433534,82.1545312847918,strong_upper_tier,high,"Upper-tier contender with high confidence; rank 19 and enough scale (37 known outcomes, 40 battle pages) to remain defensible under the trust-first model.",43,40,19,27,37,V=29; D=7; N=1; U=6,B=40; O=0; C=0; W=3,battle_dominant,model_sensitive,
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,8.0,10.0,20.0,25.0,20.0,15.0,34.0,95.94750320102433,84.83633934535737,83.18325539968825,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 20 but not stable enough for the headline core.,21,19,7,15,19,V=16; D=3; N=0; U=2,B=19; O=0; C=0; W=2,battle_dominant,model_sensitive,
