display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,medieval,model_sensitive_band,caution,10.0,79.0,69.0,42.666666666666664,1,2,10.0,15.0,60.0,56.0,55.0,79.0,36.0,13,13,12,3,B=12; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,modern,model_sensitive_band,caution,15.0,97.0,82.0,43.333333333333336,0,3,97.0,56.0,16.0,19.0,29.0,57.0,15.0,9,13,11,7,B=11; O=0; C=0; W=2,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,modern,model_sensitive_band,caution,18.0,74.0,56.0,47.0,0,1,18.0,26.0,53.0,58.0,52.0,53.0,74.0,12,12,9,9,B=9; O=3; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,medieval,model_sensitive_band,caution,22.0,90.0,68.0,47.5,0,2,24.0,36.0,90.0,68.0,70.0,22.0,45.0,9,10,9,6,B=9; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,medieval,model_sensitive_band,caution,21.0,69.0,48.0,48.166666666666664,0,1,55.0,69.0,62.0,45.0,66.0,21.0,37.0,8,9,8,5,B=8; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,modern,model_sensitive_band,caution,31.0,87.0,56.0,49.5,0,0,56.0,87.0,41.0,50.0,40.0,31.0,32.0,17,22,20,12,B=20; O=2; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,early_modern,model_sensitive_band,caution,4.0,81.0,77.0,49.666666666666664,2,2,6.0,4.0,81.0,80.0,89.0,69.0,58.0,18,20,20,4,B=20; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,early_modern,model_sensitive_band,caution,11.0,82.0,71.0,51.0,0,2,11.0,18.0,70.0,82.0,101.0,73.0,52.0,17,18,18,8,B=18; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,early_modern,model_sensitive_band,caution,17.0,74.0,57.0,51.166666666666664,0,1,33.0,17.0,59.0,52.0,64.0,74.0,72.0,10,12,11,5,B=11; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,modern,model_sensitive_band,caution,17.0,124.0,107.0,53.833333333333336,0,1,124.0,85.0,17.0,27.0,123.0,30.0,40.0,9,14,8,11,B=8; O=1; C=0; W=5,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,modern,model_sensitive_band,caution,15.0,119.0,104.0,56.833333333333336,0,2,59.0,96.0,15.0,24.0,85.0,28.0,119.0,14,16,15,9,B=15; O=0; C=0; W=1,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,ancient,model_sensitive_band,caution,16.0,90.0,74.0,58.166666666666664,0,1,38.0,16.0,84.0,90.0,117.0,67.0,54.0,18,27,25,4,B=25; O=0; C=0; W=2,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,modern,model_sensitive_band,caution,23.0,81.0,58.0,59.833333333333336,0,1,58.0,23.0,56.0,81.0,118.0,75.0,66.0,13,18,13,15,B=13; O=5; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,modern,model_sensitive_band,caution,30.0,86.0,56.0,60.5,0,0,30.0,38.0,63.0,86.0,83.0,84.0,62.0,15,19,18,9,B=18; O=1; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,early_modern,model_sensitive_band,caution,32.0,85.0,53.0,60.5,0,0,85.0,32.0,68.0,70.0,75.0,55.0,53.0,6,19,15,9,B=15; O=0; C=0; W=4,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,medieval,model_sensitive_band,caution,26.0,104.0,78.0,60.666666666666664,0,0,92.0,104.0,58.0,37.0,36.0,47.0,26.0,10,10,7,6,B=7; O=0; C=0; W=3,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,early_modern,model_sensitive_band,caution,32.0,126.0,94.0,60.666666666666664,0,0,86.0,126.0,32.0,36.0,28.0,49.0,35.0,9,10,8,10,B=8; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,early_modern,early_modern,model_sensitive_band,caution,24.0,121.0,97.0,61.5,0,2,66.0,121.0,24.0,29.0,21.0,24.0,105.0,9,10,9,8,B=9; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,modern,model_sensitive_band,caution,10.0,270.0,260.0,68.6,1,3,,270.0,22.0,14.0,14.0,27.0,10.0,7,9,4,7,B=4; O=3; C=0; W=2,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,modern,model_sensitive_band,caution,33.0,107.0,74.0,69.83333333333333,0,0,107.0,88.0,74.0,57.0,57.0,60.0,33.0,8,12,8,6,B=8; O=0; C=0; W=4,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,modern,model_sensitive_band,caution,39.0,130.0,91.0,70.5,0,0,130.0,106.0,39.0,60.0,68.0,44.0,44.0,8,13,11,6,B=11; O=1; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,modern,model_sensitive_band,moderate,51.0,92.0,41.0,72.5,0,0,51.0,66.0,92.0,78.0,111.0,83.0,65.0,10,11,10,4,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,medieval,model_sensitive_band,caution,27.0,214.0,187.0,73.5,0,0,91.0,214.0,27.0,41.0,17.0,41.0,27.0,15,15,12,9,B=12; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,early_modern,early_modern,model_sensitive_band,caution,47.0,110.0,63.0,75.16666666666667,0,0,47.0,58.0,85.0,69.0,91.0,82.0,110.0,7,7,7,5,B=7; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,modern,model_sensitive_band,caution,35.0,149.0,114.0,77.83333333333333,0,0,147.0,149.0,35.0,43.0,44.0,54.0,39.0,12,13,8,8,B=8; O=5; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,early_modern,model_sensitive_band,moderate,62.0,105.0,43.0,77.83333333333333,0,0,62.0,105.0,78.0,91.0,140.0,68.0,63.0,10,11,10,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,medieval,model_sensitive_band,caution,20.0,237.0,217.0,79.0,0,1,,237.0,28.0,20.0,31.0,42.0,68.0,6,6,4,4,B=4; O=0; C=0; W=2,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,modern,model_sensitive_band,caution,42.0,173.0,131.0,83.0,0,0,173.0,136.0,45.0,54.0,46.0,48.0,42.0,11,13,5,8,B=5; O=8; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,modern,model_sensitive_band,caution,29.0,142.0,113.0,83.16666666666667,0,0,29.0,35.0,98.0,88.0,112.0,107.0,142.0,9,10,10,5,B=10; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,early_modern,model_sensitive_band,caution,41.0,124.0,83.0,84.0,0,0,41.0,52.0,80.0,95.0,240.0,112.0,124.0,11,13,13,6,B=13; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
