battle_id,battle_name,year,war_name,commander_name_raw,commander_name_normalized,commander_wikipedia_url,side,belligerent,battle_result_for_commander,role_in_battle,opposing_commander_names_raw,location_normalized,strength_side_raw,strength_enemy_raw,casualties_side_raw,casualties_enemy_raw,source_url,parse_notes,identity_confidence
battle_6461518,"Hundred Years' War, 1415–1453",1415,the Hundred Years' War,king of France,List of French monarchs,https://en.wikipedia.org/wiki/List_of_French_monarchs,side_b,20px Kingdom of England 13px Principality of Wales 13px English Kingdom of France 20px Duchy of Burgundy (1419 to 1435),unknown,,"Charles | # | Charles VII | Joan of Arc | Louis, Dauphin | Arthur de Richemont | Jean de Dunois | La Hire | Jean de Xaintrailles | Jean d'Alençon | Charles de Bourbon | Ambroise de Loré | Jean de Brosse | Jean Bureau | Gilbert de Lafayette | Gilles de Rais | Charles d'Albret | Jean Le Maingre | Charles d'Orléans | Philip the Good",France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1415%E2%80%931453,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_303005,Hussite Wars,1419,the European religious wars and the Crusades,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,"Bohemia & Moravia: Hussite movementThe Hussite movement was formed by pilgrims and followers in southern and western Bohemia, Plzeň and in the newly founded town of Tábor.(1419–20) Hussite BohemiaThe Kingdom of Bohemia under the Hussite movement was controlled by various Hussite unions (factions) led by hetmans (military commanders), the most strongest of which were Taborites, Praguers, Orebites (later Osphans), etc. (1420–23) Taborites PraguersThe ""Praguers"" were a Hussite union in central Bohemia and centered in the capital city of Prague. OrebitesThe Orebites were a Hussite union in Eastern Bohemia. Union of Žatec and LounyThe Hussites of Žatec and Louny were a union in Northern Bohemia. Bohemian Hussite nobility and cities Moravian Hussites Moravian Hussite nobility Nový Tábor (1420–21) Radical Hussite faction (1423–34) Taborites Orebites (until 1424) Orphans (since 1424)The Orebites renamed themselves ""Orphans"" (Sirotci) after Žižka's death (1424). Allies: LithuaniaLithuania supported the Hussite revolution in the hope of receiving the Bohemian royal crown for itself. For this purpose the Lithuanian duke Sigismund Korybut came to Bohemia and was designed by the Hussites as their additional hetman (military commander). Supported by: Poland ---- Polish–Hussite invasion of Prussia (1433): Poland Pomerania-Stolp Orphans as mercenaries ---- Poland: Polish Hussites",unknown,,Sigismund | Pope Martin V | Pippo Spano | Ulrich II of Rosenberg | Bohuslav of Schwanberg | Jan Všembera of Boskovice | Peter of Sternberg | Mikeš Divůček of Jemniště | Henry of Kravaře and Plumlov | Hanuš of Kolowrat | Hynce Ptáček of Pirkstein | Hynčík Pflug of Rabstein | Henry of Hradec | Rupert II of Lubin | John XII of Bucka | Konrad IV the Elder | Přemek of Opava | Půta III of Častolovice | Louis of Oława | John of Münsterberg | John of Żagań | Těma of Koldice | Albert of Koldice | Hanuš of Polensko | Frederick I | Boso of Vitzthum | Frederick II of Saxony | Louis III | Frederick of Brandenburg | Johann of Pfalz-Neumarkt | Albert II of Austria | Walsee | Julian Cesarini | Otto of Ziegenheim | Đurađ Branković | Scibor II. Sciborowic | Michael Országh | William the Victorious | Paul von Rusdorf | Zbigniew Oleśnicki | Diviš Bořek of Miletínek,"Central Europe, mostly the Lands of the Bohemian Crown with spillovers into Hungary, Poland, and German lands",,,,,https://en.wikipedia.org/wiki/Hussite_Wars,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_75647621,Kashmir Civil War (1419–1420),1419,Kashmir Civil War,Fath Khan Samma,List of monarchs of Sindh,https://en.wikipedia.org/wiki/List_of_monarchs_of_Sindh,side_a,Blood Flag.svg Forces loyal to Shahi Khan Flag of Jasrat Khokhar.png Khokhar Confederacy Diplomatic support: Sindh_EU4.jpg Sindh Kingdom,unknown,,Ali Shah | Srivara | Khizr Khan,"Kashmir Sultanate (primarily Srinagar, Uri and Thanna)",,,,,https://en.wikipedia.org/wiki/Kashmir_Civil_War_%281419%E2%80%931420%29,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_6961831,Russo-Kazan Wars,1437,Russo-Kazan Wars,Mamuq,List of Kazan khans,https://en.wikipedia.org/wiki/List_of_Kazan_khans,side_b,22px Khanate of Kazan Supported by: Crimean Khanate Nogai Horde Khanate of Sibir Khanate of Bukhara Anti-Moscow factions in Kazan,unknown,,Vasily II | Ivan III | Daniil Kholmsky | Möxämmädämin | Ghabdellatif | Vasily Kholmsky | Shahghali | Vasili III | Canghali | Ivan the Terrible | Alexander Gorbatyi-Shuisky | Ivan Vyrodkov,Khanate of Kazan and Muscovy,,,,,https://en.wikipedia.org/wiki/Russo-Kazan_Wars,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_50072,Battle of Barnet,1471,the Wars of the Roses,WIA,Wounded in action,https://en.wikipedia.org/wiki/Wounded_in_action,side_a,House of York,unknown,,Earl of Warwick | Marquess of Montagu | Duke of Exeter | Earl of Oxford,"(north of) Barnet, Hertfordshire, England","7,000–15,000","10,000–30,000","1,000","10,000",https://en.wikipedia.org/wiki/Battle_of_Barnet,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_9945875,Ottoman conquest of Otranto,1480,the Ottoman wars in Europe and Hungarian–Ottoman Wars,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,Ottoman Empire,unknown,,"Francesco Largo | Alfonso, Duke of Calabria | Paolo Fregoso | Gaspare de Spes | Balázs Magyar","Otranto, Kingdom of Naples","18,000 infantry *700 cavalry *128 ships","Kingdom of Naples: 20,000 infantry *Hungary: 2,100 Hungarian heavy infantry","Garrisoned forces surrender, 300 captured","12,000 killed in action *5,000 enslaved",https://en.wikipedia.org/wiki/Ottoman_conquest_of_Otranto,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_30940778,Siege of Kőszeg,1532,the Little War in Hungary within the Ottoman–Habsburg wars and the Habsburg–Ottoman war of 1529–1533,WIA,Wounded in action,https://en.wikipedia.org/wiki/Wounded_in_action,side_a,Habsburg Monarchy Kingdom of Hungary Kingdom of Croatia,unknown,,Suleiman the Magnificent | Pargali Ibrahim Pasha,"Kőszeg, Kingdom of Hungary",700–800,"100,000–120,000",Heavy,Moderate losses,https://en.wikipedia.org/wiki/Siege_of_K%C5%91szeg,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_78909444,Burmese–Portuguese conflicts,1539,Portuguese presence in Asia,King of Martaban,List of rulers of Martaban,https://en.wikipedia.org/wiki/List_of_rulers_of_Martaban,side_a,Kingdom of Portugal Kingdom of Portugal Kingdom of Martaban,unknown,,Min Razagyi | Min Khamaung | Pegu | Anaukpetlun,Myanmar,,,,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Portuguese_conflicts,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_38984590,Burmese–Siamese War (1563–1564),1563,Burmese–Siamese wars,Phraya Chakri,List of samuhanayok,https://en.wikipedia.org/wiki/List_of_samuhanayok,side_a,Ayutthaya Kingdom (Siam),unknown,,Bayinnaung | Thado Minsaw of Ava | Binnya Dala,"Ayutthaya, Phitsanulok, Sukhothai","70,000","Burmese sources: 60,000+ men 2,400 horses 360 elephants Thai sources: 120,000+ men",Heavy,Heavy but few than Ayutthaya,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_%281563%E2%80%931564%29,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_34163980,Spanish–Moro conflict,1565,Spanish–Moro conflict,Various Sultans of Sulu,List of sultans of Sulu,https://en.wikipedia.org/wiki/List_of_sultans_of_Sulu,side_b,"Late 19th Century Flag of Sulu.svg Sulu Sultanate Flag of Maguindanao.svg Maguindanao Sultanate Sultanates of Lanao Flag carried during a Ternatean king ceremony, de Bry (1601).svg Sultanate of Ternate VOC Castilian War: Old Flag of Brunei.svg Brunei 18th Century Flag of Sulu.svg Sulu Sultanate Flag of Maguindanao.svg Maguindanao",unknown,,Various Governors-General of the Philippines,"Zamboanga, Sulu, Mindanao, Visayas, Palawan","Moro fighters, Chinese rebels",Spanish and Christian Filipino soldiers,,,https://en.wikipedia.org/wiki/Spanish%E2%80%93Moro_conflict,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
