analytic_commander_id,commander_name,total_score,score_from_overall_command,score_from_principal_field_command,score_from_subordinate_command,score_from_coalition_command,score_from_siege_engineering,score_from_naval_command,score_from_staff_or_planning,score_from_nominal_or_political,score_from_unclear_role,score_from_wing_or_corps_command,share_unclear_role,share_nominal_or_political,share_direct_field_command,role_weighted_total,role_unweighted_total,mean_role_confidence,dominant_role_class,role_adjustment_factor
acmd_007b2c393123,Michael Fallon,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.048,0.12,0.35,unclear_role,0.4
acmd_007c17de2bd1,Guglielmo Nasi,1.8275656000000002,0.0,1.8275656000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5534307600000001,1.8275656000000002,0.5625,principal_field_commander,0.85
acmd_007c79a49c1d,William Eaton,0.5143800000000001,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.10206462148606087,0.0,0.8979353785139391,0.4135980000000001,0.5143800000000001,0.4166666666666667,principal_field_commander,0.8040709203312727
acmd_007dd4b3f620,Zuhayr ibn Qays,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_00803cb59d34,Al-Ashraf Sha'ban,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_0080ac5d9484,Mehmed Alagić,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00810728cad3,Tomé de Paredes,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00822b4ab037,Juan Manuel de Cagigal,0.3577712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577712,0.0,0.0,1.0,0.19677416000000003,0.3577712,0.42500000000000004,wing_or_corps_commander,0.55
acmd_00842d170891,Joachim Ferreira,0.27521992,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.12521992,0.0,0.45498131094580657,0.0,0.5450186890541934,0.177587968,0.27521992,0.475,principal_field_commander,0.6452584100743871
acmd_00849a4d828b,Bernardo Alvarado Monzón,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_0089dbd10820,"Francisco de Tutavilla y del Rufo, Duque de San Germán",0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.475,principal_field_commander,0.85
acmd_008a2054c881,Rutger Bucking,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_008bcf54fb0f,Führer,0.24189696000000005,0.0,0.0,0.0,0.24189696000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16932787200000002,0.24189696000000005,0.5,coalition_commander,0.7
acmd_008e8e0a80eb,Ahmad ibn Ibrahim al-Ghazi,3.469158,0.0,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.319158,0.0,0.09199869247811716,0.0,0.9080013075218829,2.8051632,3.469158,0.5153846153846154,principal_field_commander,0.8086005883848473
acmd_008efa5c4e44,Nara Narayan,0.161658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161658,0.0,1.0,0.0,0.0,0.0646632,0.161658,0.3,unclear_role,0.4
acmd_009138e4ab47,Hemming Gadh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,unclear_role,0.4
acmd_0092616d129c,Lê Văn Kim,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.048,0.12,0.35,unclear_role,0.4
acmd_00943b46b5e7,Abraham Duquesne,1.1998436,0.0,0.8656856,0.0,0.0,0.0,0.0,0.0,0.0,0.33415799999999996,0.0,0.27850129800250634,0.0,0.7214987019974938,0.86949596,1.1998436,0.4375,principal_field_commander,0.7246744158988722
acmd_00943fc56277,Pedro Andrés del Alcázar,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_0095a102e1a4,Nguyễn Khoa Nam,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.048,0.12,0.35,unclear_role,0.4
acmd_00966669e252,Vicente Genaro de Quesada,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00966a216691,Pier Gerlofs Donia,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_0096925e73e8,Edmund Fanning,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_0096bb176af8,Cheng Lian,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_0099cac62de6,Franz Böhme,0.49284239999999996,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.2828424,0.12174277213161855,0.0,0.8782572278683815,0.30706332000000003,0.4928424,0.45,wing_or_corps_commander,0.6230456632789712
acmd_009a67e7cd9e,Pieter Hartsinck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,coalition_commander,0.4
acmd_009c4b663403,Nikolai Vashugin,0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.65,principal_field_commander,0.85
acmd_009e7ab66b92,Richard Hewlett,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_009e7eb4515c,Fabrizio Giustignani,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00a1961038da,Henri de la Rochejaquelein,3.96235904,0.0,3.1894456,0.0,0.0,0.0,0.0,0.0,0.0,0.08854384,0.6843696,0.02234624351457055,0.0,0.9776537564854295,3.122849576,3.96235904,0.5857142857142857,principal_field_commander,0.7881288758728942
acmd_00a4b428f0cc,Graves B. Erskine,0.3265984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3265984,0.0,0.0,1.0,0.17962912000000003,0.3265984,0.55,wing_or_corps_commander,0.55
acmd_00a7bc5714d2,Juan Domingo de Monteverde,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.43333333333333335,principal_field_commander,0.8500000000000001
