battle_id,battle_name,wikipedia_title,side,raw_text,issue_type,details
battle_58332746,Capture of Carthage (439),Capture of Carthage (439),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_64495740,Battle of Nomae,Battle of Nomae,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_3131496,Sack of Aquileia,Sack of Aquileia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_72288824,Siege of Milan (452),Siege of Milan (452),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_46254188,Battle of Agrigentum (456),Battle of Agrigentum (456),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58333044,Battle of Corsica,Battle of Corsica,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58335142,Battle of Campi Cannini,Battle of Campi Cannini,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58333224,Battle of Garigliano (457),Battle of Garigliano (457),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_394033,Battle of Oenophyta,Battle of Oenophyta,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_1048808,Battle of Wippedesfleot,Battle of Wippedesfleot,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_4028126,Battle of the Cremera,Battle of the Cremera,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8827430,Siege of Eretria,Siege of Eretria,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8791492,Siege of Naxos (499 BC),Siege of Naxos (499 BC),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_51947765,Battle of Pometia,Battle of Pometia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_59003659,Siege of Panormus,Siege of Panormus,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_36925226,Siege of Naples (536),Siege of Naples (536),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_33864614,Siege of Verona,Siege of Verona,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_60080378,Siege of Petra (550–551),Siege of Petra (550–551),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_14368996,Battle of Alclud Ford,Battle of Alclud Ford,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_32809224,Battle of An,Battle of An,side_b,郤克 孫桓子 季文子 公子首,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_29605604,Battle of Woden's Burg (592),Battle of Woden's Burg (592),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_6172818,Hephthalite–Gokturk raids of 614–616,Hephthalite–Gokturk raids of 614–616,side_b,Unknown leader,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_33357450,Siege of Caesarea Maritima (614),Siege of Caesarea Maritima (614),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_32290664,Expedition of Usama bin Zayd,Expedition of Usama bin Zayd,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_7598515,Battle of Marj Rahit (634),Battle of Marj Rahit (634),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_44933184,Battle of Sanita-al-Uqab,Battle of Sanita-al-Uqab,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_62997020,Siege of Laodicea (636),Siege of Laodicea (636),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8281908,Battle of the Iron Bridge,Battle of the Iron Bridge,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_13448333,Siege of Germanicia,Siege of Germanicia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_50560532,Battle of Loulin,Battle of Loulin,side_a,Gongsu AoZuo Qiuming 2015 (Lu commander) Several unknown commandersZuo Qiuming 2015,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_50560532,Battle of Loulin,Battle of Loulin,side_b,Unknown Chu commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_22549371,Siege of Herat (652),Siege of Herat (652),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_54519589,Battle of Changshao,Battle of Changshao,side_a,Unknown (not mentioned in the history record),no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_50547622,Siege of Azekah,Siege of Azekah,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_12731823,Siege of Lachish,Siege of Lachish,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_79487295,Battle of Écija (711),Battle of Écija (711),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_42158426,Hayato rebellion,Hayato rebellion,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_41116231,Siege of Kamarja,Siege of Kamarja,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_52791791,Battle of Keramaia,Battle of Keramaia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_35085058,Siege of Kamacha,Siege of Kamacha,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8317616,Paphlagonian expedition of the Rus',Paphlagonian expedition of the Rus',side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_72037947,Avar Wars,Avar Wars,side_b,(Unknown),no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_26857239,Battle of Bornhöved (798),Battle of Bornhöved (798),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_7998696,Siege of Serdica (809),Siege of Serdica (809),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5676710,Siege of Adrianople (813),Siege of Adrianople (813),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_31339515,Siege of Syracuse (827–828),Siege of Syracuse (827–828),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_44111480,Battle of Hingston Down,Battle of Hingston Down,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_53764274,Viking raid on Seville,Viking raid on Seville,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5372926,Arab raid against Rome,Arab raid against Rome,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_3054937,Battle of Ostia,Battle of Ostia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_35277987,Battle of Aclea,Battle of Aclea,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_59111148,Battle of Sandwich (851),Battle of Sandwich (851),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_48923859,Battle of Cephalonia,Battle of Cephalonia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_52798593,Battle of Milazzo (888),Battle of Milazzo (888),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_52798593,Battle of Milazzo (888),Battle of Milazzo (888),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_71623600,Battle of Benfleet,Battle of Benfleet,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8144269,Battle of Southern Buh,Battle of Southern Buh,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_39576531,Battle of Brenta,Battle of Brenta,side_b,Unknown Hungarian Commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_46506140,Battle of Eisenach,Battle of Eisenach,side_b,Unknown Hungarian Commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_43457740,Battle of Lechfeld (910),Battle of Lechfeld (910),side_b,Unknown Hungarian commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_54248568,Battle of the Inn,Battle of the Inn,side_a,Unknown Hungarian commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_50759452,Battle of Derby,Battle of Derby,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_47618945,Battle of Püchen,Battle of Püchen,side_b,Unknown Hungarian Commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_49474390,Battle of Constantinople (922),Battle of Constantinople (922),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_17128547,Battle of Bitter Lakes,Battle of Bitter Lakes,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_50225888,Battle of Lenzen,Battle of Lenzen,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58575807,Siege of Gana,Siege of Gana,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_11810641,Battle of Riade,Battle of Riade,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_47547660,Battle of W.l.n.d.r,Battle of W.l.n.d.r,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_47547660,Battle of W.l.n.d.r,Battle of W.l.n.d.r,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_36547455,Battle of Trans-la-Forêt,Battle of Trans-la-Forêt,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
