rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
684,49.75122010736945,qualified,acmd_5594879510b5,Antonio Ricardos,https://en.wikipedia.org/wiki/Antonio_Ricardos,revolutionary_napoleonic,9,7,0,0,2,8,0.8888888888888888,0.2317355062071636,64.71449487554905,36.51781356759395,3.2576866764275256,71.41288433382138,37.88433382137628,85.57833089311859,0,0.0909090909090909,battle_dominant,
685,49.73084431429966,qualified,acmd_0e384a7e97f8,Kuroki Tamemoto,https://en.wikipedia.org/wiki/Kuroki_Tamemoto,long_nineteenth_century,5,4,0,0,1,4,0.8,0.35555555555555557,84.29721815519767,28.34309419228892,3.2576866764275256,21.815519765739385,19.03367496339678,57.906295754026345,0,0.08045977011494253,battle_dominant,
686,49.71693509028794,qualified,acmd_cd892832505b,Karl Wilhelm von Toll,https://en.wikipedia.org/wiki/Karl_Wilhelm_von_Toll,long_nineteenth_century,6,6,0,0,0,4,0.6666666666666666,0.09736838757221833,48.75549048316252,47.66959492435334,74.08491947291361,53.00146412884333,4.978038067349927,38.28696925329429,19,0.0,battle_dominant,
687,49.688994631527585,qualified,acmd_6286f2c7b756,Radko Dimitriev,https://en.wikipedia.org/wiki/Radko_Dimitriev,long_nineteenth_century,11,8,1,0,2,5,0.45454545454545453,-0.03200749368056208,34.9194729136164,82.16203025866275,31.36896046852123,81.84480234260614,69.32650073206442,12.335285505124451,4,0.15789473684210525,battle_dominant,
688,49.65348950707662,qualified,acmd_bcd1bf2de68c,Zhang,https://en.wikipedia.org/wiki/Zhang_He,ancient,7,6,0,1,0,4,0.5714285714285714,0.010359985146490077,38.79941434846266,47.75500244021473,90.99560761346999,60.9077598828697,29.39238653001464,28.47730600292826,31,0.08396946564885498,battle_dominant,
689,49.56722791605661,qualified,acmd_31223ec6c4b9,Charles XI of Sweden,https://en.wikipedia.org/wiki/Charles_XI_of_Sweden,early_modern,5,3,0,0,2,4,0.8,0.3232463322877453,78.7701317715959,31.564177647632988,9.99267935578331,9.846266471449487,37.88433382137628,76.28111273792094,1,0.18918918918918917,mixed_profile,
690,49.550268423621276,qualified,acmd_3457532299cd,Baba Nobuharu,https://en.wikipedia.org/wiki/Baba_Nobuharu,early_modern,6,6,0,0,0,3,0.5,0.21101415443084964,61.93265007320644,17.08150317227916,80.30746705710102,53.00146412884333,4.978038067349927,15.48316251830161,22,0.0,battle_dominant,
691,49.53623718887262,qualified,acmd_1b01df5bd6d2,Harold Barrowclough,https://en.wikipedia.org/wiki/Harold_Barrowclough,world_wars,6,2,1,3,0,6,1.0,0.11163652561179031,51.46412884333821,62.042459736456806,17.240117130307468,25.366032210834554,84.9194729136164,93.77745241581259,2,0.550561797752809,war_campaign_heavy,higher_level_dependent
692,49.464372864812105,qualified,acmd_e1cb8b482685,Sanada Masayuki,https://en.wikipedia.org/wiki/Sanada_Masayuki,early_modern,6,5,0,1,0,4,0.6666666666666666,0.14578313499399248,54.24597364568082,26.84236212786725,90.99560761346999,40.62957540263543,10.797950219619326,33.125915080527086,31,0.05213270142180095,battle_dominant,
693,49.32503660322108,qualified,acmd_ee72da170da3,Ivan Andreyevich Khovansky,https://en.wikipedia.org/wiki/Ivan_Andreyevich_Khovansky_(Tararui),early_modern,7,4,0,1,2,7,1.0,0.03693567691947128,41.800878477306,62.042459736456806,44.36310395314788,40.15373352855051,61.420204978038065,93.77745241581259,7,0.23809523809523808,mixed_profile,
