rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1112,34.30852840770544,qualified,acmd_e71224c7b194,Abu Ayyub al-Masri,https://en.wikipedia.org/wiki/Abu_Ayyub_al-Masri,contemporary,10,4,1,0,5,4,0.4,-0.2596698879289987,13.606437454279444,68.23945379175812,31.346013167520116,60.93635698610095,85.66203365032918,10.204828090709583,4,0.3893129770992366,war_campaign_heavy,sparse_higher_level_evidence
1113,34.30455986344794,qualified,acmd_b6552744f0c3,Owen Roe O'Neill,https://en.wikipedia.org/wiki/Owen_Roe_O%27Neill,early_modern,6,4,0,0,2,3,0.5,-0.06826934344804933,30.724213606437456,42.514020970495004,40.89246525237747,29.517190929041696,37.85662033650329,15.471836137527431,6,0.14893617021276595,mixed_profile,
1114,34.29761033894172,qualified,acmd_31f356676b93,Hatazō Adachi,https://en.wikipedia.org/wiki/Hataz%C5%8D_Adachi,world_wars,17,10,2,5,0,17,1.0,-0.6181818181818182,0.0731528895391368,65.74006339917094,17.227505486466715,92.31894659839064,92.53840526700805,93.70885149963424,2,0.2687385740402194,mixed_profile,
1115,34.17471348451597,qualified,acmd_ca66ae0bc33d,Franz Conrad von Hötzendorf,https://en.wikipedia.org/wiki/Franz_Conrad_von_H%C3%B6tzendorf,world_wars,18,13,3,0,2,9,0.5,-0.4067753570656562,1.6825164594001463,65.74006339917094,31.346013167520116,94.36722750548647,89.20994879297733,19.45866861741039,4,0.19254658385093165,battle_dominant,
1116,34.101316752011705,qualified,acmd_92eb8ef70ed0,Harukichi Hyakutake,https://en.wikipedia.org/wiki/Harukichi_Hyakutake,world_wars,16,9,3,4,0,15,0.9375,-0.6,0.1463057790782736,71.25091441111924,9.985369422092173,91.25822970007316,94.58668617410387,87.16166788588149,1,0.3181818181818182,mixed_profile,
1117,34.04047793221165,qualified,acmd_05f0b740c0d2,Hermann Göring,https://en.wikipedia.org/wiki/Hermann_G%C3%B6ring,world_wars,5,3,2,0,0,4,0.8,-0.1148535089224676,26.18873445501097,42.514020970495004,24.433065106071687,27.65179224579371,71.17776152158011,76.29846378931968,3,0.3478260869565218,operation_heavy,
1118,33.97622531089978,qualified,acmd_318c5a922503,Draža Mihailović,https://en.wikipedia.org/wiki/Dra%C5%BEa_Mihailovi%C4%87,world_wars,5,2,3,0,0,3,0.6,-0.004971951542613012,37.30797366495977,26.847110460863206,31.346013167520116,6.876371616678859,71.17776152158011,53.950256035113384,4,0.4444444444444445,operation_heavy,
1119,33.914837844428185,qualified,acmd_e97b055442e9,Kliment Boyadzhiev,https://en.wikipedia.org/wiki/Kliment_Boyadzhiev,world_wars,7,3,2,2,0,3,0.42857142857142855,-0.30000000000000004,9.326993416239942,82.17507924896366,31.346013167520116,48.82955376737381,86.94220921726408,6.656912948061448,4,0.4736842105263158,mixed_profile,sparse_higher_level_evidence
1120,33.86259448914899,qualified,acmd_0adc808c5c41,Jan Čapek of Sány,https://en.wikipedia.org/wiki/Jan_%C4%8Capek_of_S%C3%A1ny,medieval,8,4,0,0,4,5,0.625,-0.2930100841123164,11.19239209948793,51.45086564252622,60.60716898317483,45.574250182882224,65.94732991953181,23.2626188734455,13,0.25925925925925924,mixed_profile,
1121,33.84369665935138,qualified,acmd_3d7d6d82f0bb,Inaba Yoshimichi,https://en.wikipedia.org/wiki/Inaba_Yoshimichi,early_modern,5,5,0,0,0,3,0.6,-0.11737412955857457,26.0424286759327,20.312118995366983,87.71031455742502,35.84491587417703,4.974396488661302,25.566934893928313,28,0.0,battle_dominant,
1122,33.82723725920508,qualified,acmd_799cf09fef67,Archduke John of Austria,https://en.wikipedia.org/wiki/Archduke_John_of_Austria,revolutionary_napoleonic,7,6,0,0,1,4,0.5714285714285714,-0.1637318204674906,21.61667885881492,42.514020970495004,49.8902706656913,58.339429407461594,19.01975128017557,28.456474030724216,9,0.05511811023622047,battle_dominant,
1123,33.79687881004633,qualified,acmd_64ec170223bd,Renya Mutaguchi,https://en.wikipedia.org/wiki/Renya_Mutaguchi,world_wars,5,2,0,3,0,5,1.0,-0.09423871943073109,28.383321141185075,42.514020970495004,24.433065106071687,7.498171177761521,72.64081931236284,93.70885149963424,3,0.4520547945205479,war_campaign_heavy,
1124,33.77907827359181,qualified,acmd_b417f54e0856,Hernando Pizarro,https://en.wikipedia.org/wiki/Hernando_Pizarro,early_modern,5,5,0,0,0,3,0.6,0.03735552912573973,41.77029992684711,17.081199707388443,44.40380395025604,35.84491587417703,4.974396488661302,25.566934893928313,7,0.0,battle_dominant,
1125,33.72226286271641,qualified,acmd_45fba38cddc3,Sitting Bull,https://en.wikipedia.org/wiki/Sitting_Bull,long_nineteenth_century,8,3,0,2,3,7,0.875,-0.43110067614166625,1.2435991221653255,65.74006339917094,52.23116313094367,39.246525237746894,81.08997805413314,84.74762253108999,10,0.4174757281553398,war_campaign_heavy,
1126,33.601316752011705,qualified,acmd_5585906a6277,Józef Potocki,https://en.wikipedia.org/wiki/J%C3%B3zef_Potocki,early_modern,5,4,0,0,1,3,0.6,-0.022481553747598568,35.55230431602048,36.53986832479883,40.89246525237747,21.799561082662766,19.01975128017557,20.99487929773226,6,0.08045977011494253,battle_dominant,
1127,33.51950743721044,qualified,acmd_f1748e3d95e1,Ma Yukun,https://en.wikipedia.org/wiki/Ma_Yukun,long_nineteenth_century,5,3,0,1,1,5,1.0,0.028333595803757404,40.307242136064374,42.63594245306023,3.2553035844915876,7.278712509144111,31.49231894659839,93.70885149963424,0,0.1724137931034483,mixed_profile,
1128,33.51133869787857,qualified,acmd_9a238e210b85,Baldwin II of Jerusalem,https://en.wikipedia.org/wiki/Baldwin_II_of_Jerusalem,medieval,9,9,0,0,0,5,0.5555555555555556,-0.2041666666666667,17.62984637893197,17.081199707388443,87.71031455742502,79.00512070226775,4.974396488661302,20.153621068032187,28,0.0,battle_dominant,
1129,33.47220190197513,qualified,acmd_e9795eb8ba16,Gregorio García de la Cuesta,https://en.wikipedia.org/wiki/Gregorio_Garc%C3%ADa_de_la_Cuesta,revolutionary_napoleonic,7,5,0,0,2,5,0.7142857142857143,-0.23978908603974156,15.069495245062182,36.53986832479883,67.7029992684711,48.82955376737381,37.85662033650329,51.82882223847842,16,0.12280701754385964,battle_dominant,
1130,33.45986832479883,qualified,acmd_6b0f204a76e2,Izzat Ibrahim al-Douri,https://en.wikipedia.org/wiki/Izzat_Ibrahim_al-Douri,contemporary,8,1,0,1,6,3,0.375,-0.30000000000000004,9.326993416239942,81.63862472567666,57.900512070226775,7.498171177761521,86.39356254572056,30.651060716898314,12,0.726027397260274,war_campaign_heavy,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | thin_battle_anchor
1131,33.45976591075347,qualified,acmd_4f59082c2b88,Jan Kemp,https://en.wikipedia.org/wiki/Jan_Kemp_(general),long_nineteenth_century,5,2,0,1,2,3,0.6,-0.24710430759034036,14.191660570592537,67.26408193123628,57.900512070226775,4.133138258961229,61.37527432333577,20.99487929773226,12,0.38461538461538464,war_campaign_heavy,
1132,33.418434528163864,qualified,acmd_6177338400dc,"Charles, Duke of Mayenne",https://en.wikipedia.org/wiki/Charles%2C_Duke_of_Mayenne,early_modern,7,5,0,0,2,3,0.42857142857142855,-0.18000000000000005,20.11704462326262,47.76883686905634,47.25676664228237,48.82955376737381,37.85662033650329,14.228237015362108,8,0.12280701754385964,battle_dominant,
1133,33.35808339429408,qualified,acmd_1801a77f8f17,Looking Glass,https://en.wikipedia.org/wiki/Looking_Glass_(Native_American_leader),long_nineteenth_century,5,4,0,0,1,4,0.8,0.09221351803280096,47.9151426481346,28.34674469641551,3.2553035844915876,21.799561082662766,19.01975128017557,57.93708851499634,0,0.08045977011494253,battle_dominant,
1134,33.355888807607904,qualified,acmd_19bb30f6cc7c,Frederick I of Sweden,https://en.wikipedia.org/wiki/Frederick_I_of_Sweden,early_modern,6,4,0,0,2,4,0.6666666666666666,-0.18290615064743188,19.824433065106074,36.53986832479883,67.7029992684711,29.517190929041696,37.85662033650329,43.708851499634235,16,0.14893617021276595,mixed_profile,
1135,33.349792733479646,qualified,acmd_958e5cbb216f,Svetozar Boroević,https://en.wikipedia.org/wiki/Svetozar_Boroevi%C4%87,world_wars,19,17,1,0,1,8,0.42105263157894735,-0.3770167049839942,3.2918800292611556,68.23945379175812,31.346013167520116,95.90343818580834,58.59546452084857,10.314557425018288,4,0.06336088154269973,battle_dominant,
1136,33.25018288222385,qualified,acmd_3c681931f4bc,Dagobert Sigmund von Wurmser,https://en.wikipedia.org/wiki/Dagobert_Sigmund_von_Wurmser,revolutionary_napoleonic,10,8,0,1,1,7,0.7,-0.28508144453897694,11.777615215801024,56.80321872713972,24.433065106071687,78.12728602779809,47.76883686905633,56.14484272128749,3,0.10112359550561797,battle_dominant,
1137,33.182150694952455,qualified,acmd_d306485377f9,Ruslan Gelayev,https://en.wikipedia.org/wiki/Ruslan_Gelayev,contemporary,6,4,0,0,2,4,0.6666666666666666,-0.18586031211849555,19.60497439648866,47.76883686905634,52.23116313094367,29.517190929041696,37.85662033650329,43.708851499634235,10,0.14893617021276595,mixed_profile,
1138,33.143135820531576,qualified,acmd_4c72c4e7c973,Michelangelo Alessandro Colli-Marchi,https://en.wikipedia.org/wiki/Michelangelo_Alessandro_Colli-Marchi,revolutionary_napoleonic,9,6,0,2,1,7,0.7777777777777778,-0.3401717608732381,6.730065837600585,62.058034625701055,24.433065106071687,70.11704462326261,68.65398683247989,72.6773957571324,3,0.1946308724832215,mixed_profile,
1139,33.12240916849549,qualified,acmd_6664e804e1c3,Jalaluddin Haqqani,https://en.wikipedia.org/wiki/Jalaluddin_Haqqani,cold_war,6,2,0,0,4,3,0.5,-0.19998329685654098,17.99561082662765,64.20385271884906,47.25676664228237,5.193855157278712,65.94732991953181,15.471836137527431,8,0.4117647058823529,war_campaign_heavy,
1140,33.10741282613997,qualified,acmd_6194f1e14ba0,Theepan,https://en.wikipedia.org/wiki/Theepan,contemporary,5,5,0,0,0,5,1.0,-0.12438852841146267,25.018288222384783,20.312118995366983,67.7029992684711,35.84491587417703,4.974396488661302,93.70885149963424,16,0.0,battle_dominant,
1141,33.07168983174836,qualified,acmd_fbe5b221cce5,George Rooke,https://en.wikipedia.org/wiki/George_Rooke,early_modern,6,5,0,0,1,3,0.5,-0.12426404618646067,25.201170446232624,36.53986832479883,54.974396488661306,43.01389904901244,19.01975128017557,18.361375274323336,11,0.06542056074766354,battle_dominant,
1142,33.04011216776396,qualified,acmd_2d9dca1db93c,"Friedrich Ludwig, Prince of Hohenlohe-Ingelfingen",https://en.wikipedia.org/wiki/Friedrich_Ludwig%2C_Prince_of_Hohenlohe-Ingelfingen,revolutionary_napoleonic,7,5,0,0,2,6,0.8571428571428571,-0.29447758590229933,11.046086320409657,42.514020970495004,60.60716898317483,48.82955376737381,37.85662033650329,83.02852962692026,13,0.12280701754385964,battle_dominant,
1143,33.03730797366496,qualified,acmd_e713b5fea1ad,Ibrahim Adil Shah I,https://en.wikipedia.org/wiki/Ibrahim_Adil_Shah_I,early_modern,6,3,0,0,3,5,0.8333333333333334,-0.13749536855444486,23.555230431602048,36.53986832479883,47.25676664228237,15.76444769568398,53.950256035113384,80.6876371616679,8,0.25925925925925924,mixed_profile,
