model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_100,56,Hubert Gough,world_wars,82.5416133162612
baseline_conservative,top_100,57,Alexander the Great,ancient,82.32714468629962
baseline_conservative,top_100,58,Fedor von Bock,world_wars,82.28553137003841
baseline_conservative,top_100,59,Peter Wittgenstein,revolutionary_napoleonic,82.13828425096031
baseline_conservative,top_100,60,Erich Hoepner,world_wars,81.43405889884762
baseline_conservative,top_100,61,Guru Gobind Singh,early_modern,80.88668373879642
baseline_conservative,top_100,62,Frederick the Great,early_modern,80.2944942381562
baseline_conservative,top_100,63,Charles-Pierre Augereau,revolutionary_napoleonic,80.05761843790013
baseline_conservative,top_100,64,Arthur Currie,world_wars,79.97119078104993
baseline_conservative,top_100,65,John III Sobieski,early_modern,79.71190781049935
baseline_conservative,top_100,66,Stonewall Jackson,long_nineteenth_century,79.50064020486556
baseline_conservative,top_100,67,Ahmad Shah Durrani,early_modern,79.46542893725992
baseline_conservative,top_100,68,Suleiman the Magnificent,early_modern,79.45582586427658
baseline_conservative,top_100,69,Paul von Lettow-Vorbeck,world_wars,79.39820742637644
baseline_conservative,top_100,70,Émile Fayolle,world_wars,79.03008962868118
baseline_conservative,top_100,71,Robert Clive,early_modern,79.02048655569783
baseline_conservative,top_100,72,Antonio Duvergé,long_nineteenth_century,78.854033290653
baseline_conservative,top_100,73,Alasdair Mac Colla,early_modern,78.63636363636364
baseline_conservative,top_100,74,Jeremi Wiśniowiecki,early_modern,78.58194622279129
baseline_conservative,top_100,75,Allen H. Turnage,world_wars,78.50832266325224
baseline_conservative,top_100,76,Juan Yagüe,world_wars,78.50832266325224
baseline_conservative,top_100,77,Smedley Butler,long_nineteenth_century,78.50832266325224
baseline_conservative,top_100,78,Al-Qa'qa' ibn Amr al-Tamimi,medieval,78.35147247119079
baseline_conservative,top_100,79,Qutb ud-Din Aibak,medieval,78.35147247119079
baseline_conservative,top_100,80,Harry Chauvel,world_wars,78.21702944942382
baseline_conservative,top_100,81,Tokugawa Ieyasu,early_modern,78.20422535211269
baseline_conservative,top_100,82,"Frederick Henry, Prince of Orange",early_modern,78.1754161331626
baseline_conservative,top_100,83,Shurahbil ibn Hasana,medieval,78.12419974391804
baseline_conservative,top_100,84,Basil II,medieval,77.9449423815621
baseline_conservative,top_100,85,Aurangzeb,early_modern,77.71446862996159
