score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,rank,rank_role_weighted,rank_change_vs_hierarchical_trust_v2,score_normalized,score_role_weighted,role_adjustment_factor,mean_role_confidence,dominant_role_class,share_direct_field_command,share_unclear_role,share_nominal_or_political,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action
qualified,acmd_e91bd76a2779,François Joseph Paul de Grasse,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Paul_de_Grasse,early_modern,5,5,0,0,0,5,1.0,0.2463427145309437,68.3223992502343,31.208997188378635,39.80006248047485,8.481724461105905,25.44517338331772,18.181818181818183,88.89409559512652,1,0.0,battle_dominant,,696,593,-103,40.2825679475164,29.54997469953214,0.8282211477736505,0.5428571428571429,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_siege_or_engineering_commander,False,retain
qualified,acmd_d2d76819b2bb,Aleksey Kuropatkin,https://en.wikipedia.org/wiki/Aleksey_Kuropatkin,long_nineteenth_century,7,5,0,0,2,6,0.8571428571428571,-0.1028957437514606,23.89878163074039,48.21930646672914,48.54732895970009,84.20805998125586,38.80037488284911,64.1518275538894,57.40393626991565,25,0.1228070175438596,battle_dominant,,611,594,-17,43.84,29.445074141410114,0.7662301193491838,0.50625,principal_field_commander,0.9344800470086957,0.06551995299130428,0.0,0.075808,0.924192,eligible_field_commander,False,retain
qualified,acmd_93904db123cd,Chagatai Khan,https://en.wikipedia.org/wiki/Chagatai_Khan,medieval,5,4,0,0,1,5,1.0,0.4,90.81537019681348,5.435801312089971,38.7691346454233,15.510777881911904,10.028116213683225,47.46954076850984,88.89409559512652,2,0.0804597701149425,battle_dominant,,616,595,-21,43.50869728209934,29.430001371411812,0.7675648392902577,0.525,principal_field_commander,0.9462687171824513,0.05373128281754873,0.0,0.053731,0.946269,eligible_siege_or_engineering_commander,False,retain
qualified,acmd_8a3b2655a31c,Matthew C. Perry,https://en.wikipedia.org/wiki/Matthew_C._Perry,long_nineteenth_century,5,4,0,0,1,4,0.8,0.3555555555555556,85.52014995313965,3.936269915651359,38.7691346454233,2.6241799437675724,10.028116213683225,47.46954076850984,66.68228678537957,0,0.0804597701149425,battle_dominant,,720,596,-124,39.37340206185567,29.34998376918226,0.84189364461738,0.5416666666666666,principal_field_commander,0.981985876927511,0.018014123072488827,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_54af3c63c629,Eberhard von Mackensen,https://en.wikipedia.org/wiki/Eberhard_von_Mackensen,world_wars,10,8,2,0,0,9,0.9,-0.1170182426860848,22.399250234301785,81.630740393627,64.90159325210871,22.492970946579195,78.77225866916588,83.0834114339269,69.44704779756327,3,0.1666666666666666,battle_dominant,,411,597,186,51.88284910965324,29.341816514945947,0.6417472996608689,0.525,wing_or_corps_commander,0.8110164198383624,0.0,0.0,0.197742,0.802258,eligible_field_commander,False,retain
qualified,acmd_144c89eec55f,Karl von Bülow,https://en.wikipedia.org/wiki/Karl_von_B%C3%BClow,world_wars,6,6,0,0,0,4,0.6666666666666666,0.2756462679496573,71.22774133083412,25.164011246485472,33.34895345204623,2.6241799437675724,44.56419868791003,18.181818181818183,26.14807872539831,0,0.0,battle_dominant,,760,598,-162,37.81936269915652,29.33364319353327,0.8499999999999999,0.65,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_6902ffed7379,Robert the Bruce,https://en.wikipedia.org/wiki/Robert_the_Bruce,medieval,11,11,0,0,0,5,0.4545454545454545,-0.0906163678643945,25.63261480787254,50.7029053420806,27.553889409559517,70.80599812558576,84.20805998125586,18.181818181818183,5.342080599812558,18,0.0,battle_dominant,,752,599,-153,38.08013120899719,29.299884289089345,0.85,0.6208333333333333,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_4a15c102ad5d,Antoine Charles Louis de Lasalle,https://en.wikipedia.org/wiki/Antoine_Charles_Louis_de_Lasalle,revolutionary_napoleonic,6,6,0,0,0,6,1.0,0.0217134269121386,38.144329896907216,62.32427366447985,44.89222118088097,55.95126522961574,44.56419868791003,18.181818181818183,88.89409559512652,12,0.0,battle_dominant,,558,600,42,45.90272727272727,29.267298271470956,0.711732710236909,0.5833333333333334,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_d6b39fb3c159,Fabian Gottlieb von der Osten-Sacken,https://en.wikipedia.org/wiki/Fabian_Gottlieb_von_der_Osten-Sacken,revolutionary_napoleonic,7,7,0,0,0,6,0.8571428571428571,-0.2604336292437179,10.121836925960636,64.29240862230553,44.89222118088097,63.68322399250235,58.90346766635426,18.181818181818183,61.52764761012184,15,0.0,battle_dominant,,729,601,-128,38.77727272727272,29.224751668286203,0.8373963410597905,0.6,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_2bf09702fdad,Alfonso d'Avalos,https://en.wikipedia.org/wiki/Alfonso_d%27Avalos,early_modern,7,7,0,0,0,4,0.5714285714285714,-0.0341087273384556,32.239925023430175,49.20337394564199,39.80006248047485,73.33645735707591,58.90346766635426,18.181818181818183,14.29240862230553,19,0.0,battle_dominant,,701,602,-99,40.12927835051546,29.2230924962183,0.8166995028352125,0.5666666666666667,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_siege_or_engineering_commander,False,retain
qualified,acmd_09eae876d042,"Albert VII, Archduke of Austria",https://en.wikipedia.org/wiki/Albert_VII%2C_Archduke_of_Austria,early_modern,5,5,0,0,0,5,1.0,0.0732410213843657,44.70477975632615,52.76476101218369,33.34895345204623,34.817244611059046,25.44517338331772,18.181818181818183,88.89409559512652,5,0.0,battle_dominant,,735,603,-132,38.70474226804123,29.1978899484536,0.85,0.55,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_siege_or_engineering_commander,False,retain
qualified,acmd_ba212b09b6ad,Occhiali,https://en.wikipedia.org/wiki/Occhiali,early_modern,5,4,0,0,1,5,1.0,0.0826902729724195,46.01686972820993,53.42080599812559,54.99843798812871,48.21930646672914,10.028116213683225,47.46954076850984,88.89409559512652,9,0.0804597701149425,battle_dominant,,594,604,10,44.58789128397376,29.17655695601373,0.7402866800903821,0.5357142857142857,principal_field_commander,0.9381477039897558,0.0,0.0,0.061852,0.938148,eligible_field_commander,False,retain
qualified,acmd_d0c8c40b2e66,Khan Temir,https://en.wikipedia.org/wiki/Khan_Temir,early_modern,6,6,0,0,0,3,0.5,-0.1655944573561224,17.90065604498594,36.83223992502343,61.558887847547645,99.10965323336455,44.56419868791003,18.181818181818183,8.66916588566073,132,0.0,battle_dominant,,732,605,-127,38.75231490159325,29.096529771946262,0.85,0.5333333333333333,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_68a14c23e5a9,"Sigismund, Holy Roman Emperor",https://en.wikipedia.org/wiki/Sigismund%2C_Holy_Roman_Emperor,medieval,7,7,0,0,0,7,1.0,-0.4666666666666667,0.7029053420805998,71.64948453608247,39.80006248047485,93.34582942830365,58.90346766635426,18.181818181818183,88.89409559512652,34,0.0,battle_dominant,,681,606,-75,40.76363636363636,29.033422288417043,0.7950566856982035,0.5833333333333334,principal_field_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
qualified,acmd_a42179c68fd0,Paul Hausser,https://en.wikipedia.org/wiki/Paul_Hausser,world_wars,8,4,4,0,0,7,0.875,-0.1520113110039233,18.837863167760077,72.44611059044048,64.90159325210871,34.817244611059046,62.46485473289597,93.0178069353327,53.70196813495782,5,0.4444444444444445,operation_heavy,,521,607,86,47.43727272727272,29.008986063133758,0.6955712503686188,0.5166666666666667,principal_field_commander,0.5314121316754604,0.15663648031056734,0.0,0.494248,0.505752,ambiguous_requires_review,False,add_high_level_page_caveat
