rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
33,88.52112676056338,very_strong,acmd_ed754e5e4fb9,P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,long_nineteenth_century,18,14,0.7777777777777778,0.38574816505323617,93.21382842509604,95.07042253521126,58.834827144686294,3,3,battle_dominant,
34,88.4955185659411,very_strong,acmd_b11217dd158b,Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,22,20,0.9090909090909091,0.33469128065412945,84.37900128040972,97.31113956466069,90.26888604353394,18,37,battle_dominant,
35,88.26184379001279,very_strong,acmd_956599c6e40d,John Monash,https://en.wikipedia.org/wiki/John_Monash,world_wars,9,8,0.8888888888888888,0.4615384615384616,98.33546734955185,72.79129321382842,73.75160051216389,5,0,battle_dominant,
36,88.24903969270167,very_strong,acmd_7efa0f23739e,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,11,9,0.8181818181818182,0.4590302116255681,97.95134443021767,82.84250960307298,58.45070422535211,4,19,battle_dominant,
37,88.14660691421254,very_strong,acmd_33aa25cc2331,Karađorđe Petrović,https://en.wikipedia.org/wiki/Kara%C4%91or%C4%91e,revolutionary_napoleonic,9,8,0.8888888888888888,0.46153846153846156,98.14340588988476,72.79129321382842,73.75160051216389,3,6,battle_dominant,
38,87.80409731113956,very_strong,acmd_ed6b2e7bab39,Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,25,16,0.64,0.3895272896110283,93.59795134443021,98.46350832266324,46.86299615877081,2,436,battle_dominant,
39,87.70166453265044,very_strong,acmd_bc6e506fb448,Charles Mangin,https://en.wikipedia.org/wiki/Charles_Mangin,world_wars,8,8,1.0,0.42107815930305326,96.41485275288092,64.40460947503202,91.67733674775928,6,6,battle_dominant,
40,86.949423815621,very_strong,acmd_6970e6b60c26,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,21,11,0.5238095238095238,0.46468055969996536,98.46350832266324,96.73495518565942,24.583866837387962,5,29,battle_dominant,
41,86.11715749039693,very_strong,acmd_8efa327f7649,Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,13,11,0.8461538461538461,0.3527294354991419,86.04353393085788,88.4122919334187,82.58642765685019,6,18,battle_dominant,
42,85.80985915492958,very_strong,acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,13,11,0.8461538461538461,0.34238844473195384,85.53137003841229,88.4122919334187,82.58642765685019,9,1617,battle_dominant,
43,85.70422535211267,very_strong,acmd_593794f5ce40,Prince Friedrich Karl of Prussia,https://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),long_nineteenth_century,8,8,1.0,0.3845070763252821,93.08578745198463,64.40460947503202,91.67733674775928,4,7,battle_dominant,
44,85.49615877080666,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,18,16,0.8888888888888888,0.33161941310444476,80.53777208706786,95.07042253521126,89.37259923175415,12,8,battle_dominant,
45,84.8719590268886,very_strong,acmd_22fb66cab5e7,Alauddin Khalji,https://en.wikipedia.org/wiki/Alauddin_Khalji,medieval,7,7,1.0,0.4375000000000001,97.5032010243278,53.77720870678617,86.17157490396927,6,15,battle_dominant,
46,84.64148527528809,very_strong,acmd_3fe0c4409371,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,7,7,1.0,0.4375,97.11907810499359,53.77720870678617,86.17157490396927,5,37,battle_dominant,
47,84.64148527528809,very_strong,acmd_de73e1aca036,Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,early_modern,7,7,1.0,0.4375,97.11907810499359,53.77720870678617,86.17157490396927,5,10,battle_dominant,
48,84.16773367477593,very_strong,acmd_909d92cf788e,Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,10,9,0.9,0.35436695867365275,86.42765685019207,79.00128040973111,83.73879641485276,3,38,battle_dominant,
49,83.7067861715749,very_strong,acmd_882696f48db2,Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,10,9,0.9,0.3461383787222566,85.65941101152369,79.00128040973111,83.73879641485276,4,30,battle_dominant,
50,83.45710627400767,very_strong,acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,10,7,0.7,0.4375,97.11907810499359,79.00128040973111,36.23559539052496,2,21,battle_dominant,
51,83.45710627400767,very_strong,acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,10,7,0.7,0.4375,97.11907810499359,79.00128040973111,36.23559539052496,2,14,battle_dominant,
52,83.10179257362356,very_strong,acmd_b535bf3c1a8f,Charles X Gustav,https://en.wikipedia.org/wiki/Charles_X_Gustav,early_modern,13,13,1.0,0.3003699368255935,76.95262483994878,88.4122919334187,98.84763124199743,8,11,battle_dominant,
