rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action,high_level_cap,high_level_cap_adjustment_factor,score_high_level_capped,rank_high_level_capped,rank_change_vs_hierarchical_trust_v2
168,67.02436738519212,solid,acmd_b3185ee2fd63,Yakov Kulnev,https://en.wikipedia.org/wiki/Yakov_Kulnev,revolutionary_napoleonic,8,7,0,0,1,8,1.0,0.2792139728890497,71.60262417994376,71.9306466729147,54.99843798812871,70.80599812558576,63.63636363636363,47.46954076850984,88.89409559512652,18,0.0476190476190476,battle_dominant,,0.025249,0.974751,eligible_field_commander,False,retain,0.4,1.0,67.02436738519212,155,-13
169,67.0103092783505,solid,acmd_270c009fbe85,John Norris,https://en.wikipedia.org/wiki/John_Norris_(soldier),early_modern,14,14,0,0,0,13,0.9285714285714286,0.234939193722279,66.07310215557638,89.31583880037488,47.922524211184005,66.44798500468603,91.00281162136832,18.181818181818183,74.97656982193065,16,0.0,battle_dominant,,0.0,1.0,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,67.0103092783505,156,-13
170,67.00093720712277,solid,acmd_f84ebc2d7c28,Uesugi Kagekatsu,https://en.wikipedia.org/wiki/Uesugi_Kagekatsu,early_modern,8,7,0,0,1,8,1.0,0.1958369668725637,60.73102155576382,74.78912839737582,54.99843798812871,95.31396438612931,63.63636363636363,47.46954076850984,88.89409559512652,37,0.0476190476190476,battle_dominant,,0.031088,0.968912,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,67.00093720712277,157,-13
171,66.93345829428304,solid,acmd_4484c9e6f238,Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,early_modern,10,10,0,0,0,6,0.6,0.3882528527847643,88.94095595126524,69.63448922211809,27.553889409559517,93.0178069353327,80.50609184629803,18.181818181818183,16.869728209934394,33,0.0,battle_dominant,,0.0,1.0,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,66.93345829428304,158,-13
172,66.89727272727272,solid,acmd_edb3bda06f61,Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,6,4,0,0,2,6,1.0,0.4035908174503306,92.50234301780694,61.43392689784443,48.54732895970009,88.0506091846298,15.979381443298967,64.1518275538894,88.89409559512652,28,0.1489361702127659,mixed_profile,,0.086514,0.913486,eligible_field_commander,False,retain,0.4,1.0,66.89727272727272,159,-13
173,66.85941893158387,solid,acmd_c7e5e7782ad1,Pyotr Bagration,https://en.wikipedia.org/wiki/Pyotr_Bagration,revolutionary_napoleonic,27,24,0,0,3,24,0.8888888888888888,-0.1410507799926849,19.868791002811623,98.6879100281162,84.36426116838489,86.78537956888472,98.5941893158388,75.72633552014996,68.369259606373,27,0.0419161676646706,battle_dominant,,0.025085,0.974915,eligible_field_commander,False,retain,0.4,1.0,66.85941893158387,160,-13
175,66.74440487347704,solid,acmd_fb2128f7d17a,Abdul Rashid Dostum,https://en.wikipedia.org/wiki/Abdul_Rashid_Dostum,contemporary,8,5,2,0,1,4,0.5,0.2701082774358948,70.3842549203374,63.91752577319587,92.1587004061231,90.72164948453609,40.8153701968135,86.26991565135896,6.091846298031865,30,0.3277310924369748,mixed_profile,,0.328284,0.671716,eligible_field_commander,False,retain,0.4,1.0,66.74440487347704,161,-14
176,66.55295220243674,solid,acmd_9e98c779580b,Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,14,14,0,0,0,12,0.8571428571428571,0.4682335612393369,97.65698219306466,78.8191190253046,27.553889409559517,29.194001874414244,91.00281162136832,18.181818181818183,61.52764761012184,4,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,66.55295220243674,162,-14
177,66.47797563261481,solid,acmd_2d12842a46d1,Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,long_nineteenth_century,12,12,0,0,0,6,0.5,0.2234564098056904,64.38612933458295,82.66166822867854,61.558887847547645,81.30271790065603,87.20712277413308,18.181818181818183,8.66916588566073,23,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,66.47797563261481,163,-14
178,66.47047797563262,solid,acmd_f4511a92baa3,Friedrich Wilhelm Freiherr von Bülow,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Freiherr_von_B%C3%BClow,revolutionary_napoleonic,9,8,0,0,1,8,0.8888888888888888,0.3985333968035133,89.59700093720713,73.9925023430178,54.99843798812871,15.510777881911904,71.36832239925025,47.46954076850984,68.369259606373,2,0.0419161676646706,battle_dominant,,0.020589,0.979411,eligible_field_commander,False,retain,0.4,1.0,66.47047797563262,164,-14
