model_name,page_type_profile_class,rank_in_profile,global_rank,display_name,score_normalized,primary_era_bucket
baseline_conservative,battle_dominant,215,215,Cornelis Tromp,64.48783610755441,early_modern
baseline_conservative,battle_dominant,216,216,Toyotomi Hideyoshi,64.46862996158771,early_modern
baseline_conservative,battle_dominant,217,217,Konstantin Rokossovsky,64.46222791293214,world_wars
baseline_conservative,battle_dominant,218,218,Gebhard Leberecht von Blücher,64.26376440460947,revolutionary_napoleonic
baseline_conservative,battle_dominant,219,219,Philips van Almonde,64.10371318822024,early_modern
baseline_conservative,battle_dominant,220,220,"Johann Tserclaes, Count of Tilly",64.06209987195902,early_modern
baseline_conservative,battle_dominant,221,221,Prince Rupert of the Rhine,63.91165172855314,early_modern
baseline_conservative,battle_dominant,222,222,Hermann Hoth,63.87964148527529,world_wars
baseline_conservative,battle_dominant,223,223,Shapur II,63.5595390524968,ancient
baseline_conservative,battle_dominant,224,224,György Klapka,63.50192061459667,long_nineteenth_century
baseline_conservative,battle_dominant,225,225,Jean-de-Dieu Soult,63.31306017925736,revolutionary_napoleonic
baseline_conservative,battle_dominant,226,226,Oku Yasukata,63.25864276568502,long_nineteenth_century
baseline_conservative,battle_dominant,227,227,"Prince Emanuele Filiberto, Duke of Aosta",63.098591549295776,world_wars
baseline_conservative,battle_dominant,228,228,"Louis William, Margrave of Baden-Baden",62.58962868117797,early_modern
baseline_conservative,battle_dominant,229,229,Luigi Cadorna,62.56402048655569,world_wars
baseline_conservative,battle_dominant,230,230,Ngô Quang Trưởng,62.50320102432778,cold_war
baseline_conservative,battle_dominant,231,231,Robert E. Lee,62.37836107554418,long_nineteenth_century
baseline_conservative,battle_dominant,232,232,Stefan Czarniecki,62.32074263764404,early_modern
baseline_conservative,battle_dominant,233,233,Alexios I Komnenos,62.22151088348272,medieval
baseline_conservative,battle_dominant,234,234,Johan Banér,62.22151088348272,early_modern
baseline_conservative,battle_dominant,235,235,Bhai Daya Singh,62.093469910371326,early_modern
baseline_conservative,battle_dominant,236,236,Ikeda Tsuneoki,61.92701664532651,early_modern
baseline_conservative,battle_dominant,237,237,Jean-Charles Pichegru,61.88220230473752,revolutionary_napoleonic
baseline_conservative,battle_dominant,238,238,Abdulaziz Ibn Saud,61.46927016645326,long_nineteenth_century
baseline_conservative,battle_dominant,239,239,Jean-Louis Raduit de Souches,61.41485275288092,early_modern
baseline_conservative,battle_dominant,240,240,William Halsey Jr.,61.41485275288092,world_wars
baseline_conservative,battle_dominant,241,241,Yamagata Aritomo,61.41485275288092,long_nineteenth_century
baseline_conservative,battle_dominant,242,242,François Joseph Lefebvre,61.370038412291926,revolutionary_napoleonic
baseline_conservative,battle_dominant,243,243,Guillaume Brune,61.07554417413572,revolutionary_napoleonic
