display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,early_modern,model_sensitive_band,caution,27.0,117.0,90.0,58.166666666666664,0,0,27.0,46.0,42.0,61.0,99.0,56.0,117.0,21,22,21,5,B=21; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,modern,model_sensitive_band,caution,13.0,100.0,87.0,58.5,0,1,97.0,56.0,40.0,45.0,70.0,100.0,13.0,9,13,11,7,B=11; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,early_modern,model_sensitive_band,caution,34.0,128.0,94.0,60.833333333333336,0,0,85.0,128.0,34.0,42.0,22.0,42.0,34.0,9,10,8,10,B=8; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,early_modern,model_sensitive_band,caution,7.0,106.0,99.0,61.333333333333336,1,1,106.0,63.0,77.0,62.0,83.0,53.0,7.0,7,11,11,7,B=11; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,modern,model_sensitive_band,caution,29.0,88.0,59.0,62.0,0,0,29.0,36.0,75.0,88.0,79.0,82.0,62.0,15,19,18,9,B=18; O=1; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,modern,model_sensitive_band,caution,28.0,130.0,102.0,62.333333333333336,0,0,130.0,98.0,28.0,38.0,33.0,36.0,44.0,8,13,11,6,B=11; O=1; C=0; W=1,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,modern,model_sensitive_band,caution,26.0,125.0,99.0,62.666666666666664,0,0,125.0,84.0,26.0,43.0,112.0,58.0,40.0,9,14,8,11,B=8; O=1; C=0; W=5,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,early_modern,model_sensitive_band,caution,44.0,108.0,64.0,67.0,0,0,48.0,62.0,55.0,44.0,53.0,108.0,85.0,10,11,10,4,B=10; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,medieval,model_sensitive_band,caution,19.0,213.0,194.0,67.33333333333333,0,2,90.0,213.0,19.0,29.0,10.0,25.0,28.0,15,15,12,9,B=12; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,early_modern,model_sensitive_band,caution,59.0,110.0,51.0,73.5,0,0,65.0,110.0,64.0,74.0,92.0,59.0,69.0,10,11,10,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
